"AptName","Target","TargetFullName","EntrezGeneSymbol","UniProt"
"seq.25037.4","DNPEP","Aspartyl aminopeptidase","DNPEP","Q9ULA0"
"seq.25038.5","WEE2","Wee1-like protein kinase 2","WEE2","P0C1S8"
"seq.25039.10","KLHL3","Kelch-like protein 3","KLHL3","Q9UH77"
"seq.25041.11","F264","6-phosphofructo-2-kinase/fructose-2;6-bisphosphatase 4","PFKFB4","Q16877"
"seq.25042.3","MAOM","NAD-dependent malic enzyme; mitochondrial","ME2","P23368"
"seq.25043.74","SCOT","Succinyl-CoA:3-ketoacid-coenzyme A transferase 1; mitochondrial","OXCT1","P55809"
"seq.25048.30","PACN2","Protein kinase C and casein kinase substrate in neurons protein 2","PACSIN2","Q9UNF0"
"seq.25049.8","NLTP:isoform SCPx","Nonspecific lipid-transfer protein:isoform SCPx","SCP2","P22307"
"seq.2505.49","GFRa-3","GDNF family receptor alpha-3","GFRA3","O60609"
"seq.25050.82","TPP2","Tripeptidyl-peptidase 2","TPP2","P29144"
"seq.25051.104","FTO","Fat mass and obesity-associated protein","FTO","Q9C0B1"
"seq.25052.3","CRLF3","Cytokine receptor-like factor 3","CRLF3","Q8IUI8"
"seq.25053.1","DC1L2","Cytoplasmic dynein 1 light intermediate chain 2","DYNC1LI2","O43237"
"seq.25054.15","PRP19","Pre-mRNA-processing factor 19","PRPF19","Q9UMS4"
"seq.25055.56","OSBP1","Oxysterol-binding protein 1","OSBP","P22059"
"seq.25057.2","ACTN4","Alpha-actinin-4","ACTN4","O43707"
"seq.25058.23","PITM3","Membrane-associated phosphatidylinositol transfer protein 3","PITPNM3","Q9BZ71"
"seq.25059.18","HDAC6","Histone deacetylase 6","HDAC6","Q9UBN7"
"seq.25060.18","MAOX","NADP-dependent malic enzyme","ME1","P48163"
"seq.25061.8","ELMO2","Engulfment and cell motility protein 2","ELMO2","Q96JJ3"
"seq.25064.34","INP4A","Type I inositol-3;4-bisphosphate 4-phosphatase","INPP4A","Q96PE3"
"seq.25065.22","MYBPH","Myosin-binding protein H","MYBPH","Q13203"
"seq.25066.32","GLYG2","Glycogenin-2","GYG2","O15488"
"seq.25070.18","MICA1","Protein-methionine sulfoxide oxidase MICAL1","MICAL1","Q8TDZ2"
