"AptName","Target","TargetFullName","EntrezGeneSymbol","UniProt"
"seq.10000.28","CRBB2","Beta-crystallin B2","CRYBB2","P43320"
"seq.10001.7","c-Raf","RAF proto-oncogene serine/threonine-protein kinase","RAF1","P04049"
"seq.10003.15","ZNF41","Zinc finger protein 41","ZNF41","P51814"
"seq.10006.25","ELK1","ETS domain-containing protein Elk-1","ELK1","P19419"
"seq.10008.43","GUC1A","Guanylyl cyclase-activating protein 1","GUCA1A","P43080"
"seq.10010.10","BECN1","Beclin-1","BECN1","Q14457"
"seq.10011.65","OCRL","Inositol polyphosphate 5-phosphatase OCRL-1","OCRL","Q01968"
"seq.10012.5","SPDEF","SAM pointed domain-containing Ets transcription factor","SPDEF","O95238"
"seq.10014.31","SLUG","Zinc finger protein SNAI2","SNAI2","O43623"
"seq.10015.119","KCAB2","Voltage-gated potassium channel subunit beta-2","KCNAB2","Q13303"
"seq.10022.207","POLH","DNA polymerase eta","POLH","Q9Y253"
"seq.10023.32","VDR","Vitamin D3 receptor","VDR","P11473"
"seq.10024.44","HOGA1","4-hydroxy-2-oxoglutarate aldolase; mitochondrial","HOGA1","Q86XE5"
"seq.10025.1","DLDH","Dihydrolipoyl dehydrogenase; mitochondrial","DLD","P09622"
"seq.10030.8","MutY homolog","Adenine DNA glycosylase","MUTYH","Q9UIF7"
"seq.10035.6","DUS4","Dual specificity protein phosphatase 4","DUSP4","Q13115"
"seq.10036.201","ZHX3","Zinc fingers and homeoboxes protein 3","ZHX3","Q9H4I2"
"seq.10037.98","SIG12:Ig-like V-type 2","Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain; Isoform long","SIGLEC12","Q96PQ1"
"seq.10039.32","PNP","Purine nucleoside phosphorylase","PNP","P00491"
"seq.10040.63","P73L","Tumor protein 63","TP63","Q9H3D4"
"seq.10041.3","HNF4A","Hepatocyte nuclear factor 4-alpha","HNF4A","P41235"
"seq.10042.8","SGK3","Serine/threonine-protein kinase Sgk3","SGK3","Q96BR1"
"seq.10043.31","BRD4","Bromodomain-containing protein 4","BRD4","O60885"
"seq.10044.12","WN10A","Protein Wnt-10a","WNT10A","Q9GZT5"
"seq.10045.47","CUL3","Cullin-3","CUL3","Q13618"
"seq.10046.55","cIAP-1","Baculoviral IAP repeat-containing protein 2","BIRC2","Q13490"
"seq.10047.12","NCF-2","Neutrophil cytosol factor 2","NCF2","P19878"
"seq.10048.7","PEBB","Core-binding factor subunit beta","CBFB","Q13951"
"seq.10049.112","TERF1","Telomeric repeat-binding factor 1","TERF1","P54274"
"seq.10054.3","GAN","Gigaxonin","GAN","Q9H2C0"
"seq.10056.5","FOXM1","Forkhead box protein M1","FOXM1","Q08050"
"seq.10058.1","RD23A","UV excision repair protein RAD23 homolog A","RAD23A","P54725"
"seq.10063.10","FANCL","E3 ubiquitin-protein ligase FANCL","FANCL","Q9NW38"
"seq.10064.12","RBBP9","Putative hydrolase RBBP9","RBBP9","O75884"
"seq.10069.2","PIN1","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1","PIN1","Q13526"
"seq.10070.22","PLCG2","1-phosphatidylinositol 4;5-bisphosphate phosphodiesterase gamma-2","PLCG2","P16885"
"seq.10073.22","TYDP1","Tyrosyl-DNA phosphodiesterase 1","TDP1","Q9NUW8"
"seq.10074.128","BRD2","Bromodomain-containing protein 2","BRD2","P25440"
"seq.10075.75","ACBD6","Acyl-CoA-binding domain-containing protein 6","ACBD6","Q9BR61"
"seq.10076.1","AP4M1","AP-4 complex subunit mu-1","AP4M1","O00189"
"seq.10078.5","BAG3","BAG family molecular chaperone regulator 3","BAG3","O95817"
"seq.10080.9","EI2BA","Translation initiation factor eIF-2B subunit alpha","EIF2B1","Q14232"
"seq.10081.17","SATB2","DNA-binding protein SATB2","SATB2","Q9UPW6"
"seq.10082.251","NFL","Neurofilament light polypeptide","NEFL","P07196"
"seq.10085.25","STAR","Steroidogenic acute regulatory protein; mitochondrial","STAR","P49675"
"seq.10086.39","CBS","Cystathionine beta-synthase","CBS","P35520"
"seq.10087.10","Alpha crystallin A chain","Alpha-crystallin A chain","CRYAA","P02489"
"seq.10088.37","APT","Adenine phosphoribosyltransferase","APRT","P07741"
"seq.10089.7","ASML","N-acetylserotonin O-methyltransferase-like protein","ASMTL","O95671"
"seq.10336.3","CHIP","E3 ubiquitin-protein ligase CHIP","STUB1","Q9UNE7"
"seq.10339.48","NSE","Gamma-enolase","ENO2","P09104"
"seq.10342.55","PIAS4","E3 SUMO-protein ligase PIAS4","PIAS4","Q8N2W9"
"seq.10344.334","IL-10 Ra","Interleukin-10 receptor subunit alpha","IL10RA","Q13651"
"seq.10346.5","STAT3","Signal transducer and activator of transcription 3","STAT3","P40763"
"seq.10351.51","IRF1","Interferon regulatory factor 1","IRF1","P10914"
"seq.10354.57","STAT3","Signal transducer and activator of transcription 3","STAT3","P40763"
"seq.10356.21","c-Jun","Transcription factor AP-1","JUN","P05412"
"seq.10361.25","OAS1","2'-5'-oligoadenylate synthase 1","OAS1","P00973"
"seq.10362.35","c-Myc","Myc proto-oncogene protein","MYC","P01106"
"seq.10363.13","SMAD3","Mothers against decapentaplegic homolog 3","SMAD3","P84022"
"seq.10364.6","SMAD2","Mothers against decapentaplegic homolog 2","SMAD2","Q15796"
"seq.10365.132","IL-23","Interleukin-23","IL12B|IL23A","P29460|Q9NPF7"
"seq.10366.11","PDGFRA","Platelet-derived growth factor receptor alpha","PDGFRA","P16234"
"seq.10367.62","IL-12","Interleukin-12","IL12A|IL12B","P29459|P29460"
"seq.10370.21","STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1","P42224"
"seq.10372.18","STAT6","Signal transducer and activator of transcription 6","STAT6","P42226"
"seq.10382.1","ANGL3","Angiopoietin-related protein 3","ANGPTL3","Q9Y5C1"
"seq.10390.21","ZNRF3","E3 ubiquitin-protein ligase ZNRF3","ZNRF3","Q9ULT6"
"seq.10391.1","ANGL3","Angiopoietin-related protein 3","ANGPTL3","Q9Y5C1"
"seq.10396.6","Mcl-1","Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820"
"seq.10398.110","ANKR1","Ankyrin repeat domain-containing protein 1","ANKRD1","Q15327"
"seq.10418.36","STX12","Syntaxin-12","STX12","Q86Y82"
"seq.10419.1","SCAR5","Scavenger receptor class A member 5","SCARA5","Q6ZMJ2"
"seq.10420.30","FAIM1","Fas apoptotic inhibitory molecule 1","FAIM","Q9NVQ4"
"seq.10424.31","NPDC1","Neural proliferation differentiation and control protein 1","NPDC1","Q9NQX5"
"seq.10425.3","B4GT5","Beta-1;4-galactosyltransferase 5","B4GALT5","O43286"
"seq.10426.21","GOSR2","Golgi SNAP receptor complex member 2","GOSR2","O14653"
"seq.10428.1","KI2S2","Killer cell immunoglobulin-like receptor 2DS2","KIR2DS2","P43631"
"seq.10430.31","4F2:CD","4F2 cell-surface antigen heavy chain:Cytoplasmic domain","SLC3A2","P08195"
"seq.10432.3","K1644","Uncharacterized protein KIAA1644","SHISAL1","Q3SXP7"
"seq.10435.2","ASPG","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase","AGA","P20933"
"seq.10438.19","CSF2R","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","CSF2RA","P15509"
"seq.10439.57","Alpha-amylase 2B","Alpha-amylase 2B","AMY2B","P19961"
"seq.10440.26","ACAM:ECD","CXADR-like membrane protein:Extracellular domain","CLMP","Q9H6B4"
"seq.10442.1","TM190","Transmembrane protein 190","TMEM190","Q8WZ59"
"seq.10445.20","ApoM","Apolipoprotein M","APOM","O95445"
"seq.10447.18","PABP3","Polyadenylate-binding protein 3","PABPC3","Q9H361"
"seq.10449.31","TMM46","Protein shisa-2 homolog","SHISA2","Q6UWI4"
"seq.10451.11","NUCB1","Nucleobindin-1","NUCB1","Q02818"
"seq.10453.7","CEA20","Carcinoembryonic antigen-related cell adhesion molecule 20","CEACAM20","Q6UY09"
"seq.10454.99","DJC16","DnaJ homolog subfamily C member 16","DNAJC16","Q9Y2G8"
"seq.10455.196","IL-31","Interleukin-31","IL31","Q6EBC2"
"seq.10457.3","IL-18 Rb","Interleukin-18 receptor accessory protein","IL18RAP","O95256"
"seq.10462.14","INSL5","Insulin-like peptide INSL5","INSL5","Q9Y5Q6"
"seq.10463.23","Alkaline phosphatase; intestine","Intestinal-type alkaline phosphatase","ALPI","P09923"
"seq.10464.6","ANTR1","Anthrax toxin receptor 1","ANTXR1","Q9H6X2"
"seq.10472.53","HVEM","Tumor necrosis factor receptor superfamily member 14","TNFRSF14","Q92956"
"seq.10473.2","Trefoil factor 2","Trefoil factor 2","TFF2","Q03403"
"seq.10479.18","MMP-10","Stromelysin-2","MMP10","P09238"
"seq.10480.33","CD59","CD59 glycoprotein","CD59","P13987"
"seq.10485.56","MAGE-4","Melanoma-associated antigen 4","MAGEA4","P43358"
"seq.10490.3","RPN1:CD","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain","RPN1","P04843"
"seq.10496.11","CaCC","Calcium-activated chloride channel regulator 1","CLCA1","A8K7I4"
"seq.10499.1","T106A","Transmembrane protein 106A","TMEM106A","Q96A25"
"seq.10505.12","RNF43","E3 ubiquitin-protein ligase RNF43","RNF43","Q68DV7"
"seq.10506.53","PGRC2","Membrane-associated progesterone receptor component 2","PGRMC2","O15173"
"seq.10507.166","sperm protein 10","Acrosomal protein SP-10","ACRV1","P26436"
"seq.10510.62","SCIMP","SLP adapter and CSK-interacting membrane protein","SCIMP","Q6UWF3"
"seq.10512.13","IL3RB:ECD","Cytokine receptor common subunit beta:Extracellular domain","CSF2RB","P32927"
"seq.10513.13","CSEN","Calsenilin","KCNIP3","Q9Y2W7"
"seq.10514.5","PGD2 synthase","Prostaglandin-H2 D-isomerase","PTGDS","P41222"
"seq.10521.10","MXRA8:ECD","Matrix-remodeling-associated protein 8:Extracellular domain","MXRA8","Q9BRK3"
"seq.10527.22","DHX9","ATP-dependent RNA helicase A","DHX9","Q08211"
"seq.10528.2","DPEP1","Dipeptidase 1","DPEP1","P16444"
"seq.10530.8","PSB6","Proteasome subunit beta type-6","PSMB6","P28072"
"seq.10531.18","RASN","GTPase NRas","NRAS","P01111"
"seq.10534.40","PARP:BRCT domain","Poly [ADP-ribose] polymerase 1:BRCA1 C-terminal:BRCA1 C-terminus domian","PARP1","P09874"
"seq.10535.25","CX6A2","Cytochrome c oxidase subunit 6A2; mitochondrial","COX6A2","Q02221"
"seq.10539.30","C99L2","CD99 antigen-like protein 2","CD99L2","Q8TCZ2"
"seq.10546.2","TSEAR","Thrombospondin-type laminin G domain and EAR repeat-containing protein","TSPEAR","Q8WU66"
"seq.10550.37","BMP RIB","Bone morphogenetic protein receptor type-1B","BMPR1B","O00238"
"seq.10551.7","LAT","Linker for activation of T-cells family member 1","LAT","O43561"
"seq.10552.88","NKG2F","NKG2-F type II integral membrane protein","KLRC4","O43908"
"seq.10553.8","TOIP2","Torsin-1A-interacting protein 2","TOR1AIP2","Q8NFQ8"
"seq.10557.6","TEX29","Testis-expressed sequence 29 protein","TEX29","Q8N6K0"
"seq.10560.1","ITM2C:N-term","Integral membrane protein 2C:N-term","ITM2C","Q9NQX7"
"seq.10561.5","PGRP-I-alpha","Peptidoglycan recognition protein 3","PGLYRP3","Q96LB9"
"seq.10562.42","NETO2","Neuropilin and tolloid-like protein 2","NETO2","Q8NC67"
"seq.10563.13","LYSM3","LysM and putative peptidoglycan-binding domain-containing protein 3","LYSMD3","Q7Z3D4"
"seq.10565.19","SLIK3","SLIT and NTRK-like protein 3","SLITRK3","O94933"
"seq.10569.28","MFAP2","Microfibrillar-associated protein 2","MFAP2","P55001"
"seq.10571.14","MGAT1","Alpha-1;3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","MGAT1","P26572"
"seq.10572.65","CST8","Cystatin-8","CST8","O60676"
"seq.10575.31","PUF60","Poly(U)-binding-splicing factor PUF60","PUF60","Q9UHX1"
"seq.10576.7","PXDC2:ECD","Plexin domain-containing protein 2:Extracellular domain","PLXDC2","Q6UX71"
"seq.10580.14","SFTA2","Surfactant-associated protein 2","SFTA2","Q6UW10"
"seq.10582.36","SG196","Protein O-mannose kinase","POMK","Q9H5K3"
"seq.10583.1","TM108","Transmembrane protein 108","TMEM108","Q6UXF1"
"seq.10584.7","NDUS4","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4; mitochondrial","NDUFS4","O43181"
"seq.10588.39","SIAT9","Lactosylceramide alpha-2;3-sialyltransferase","ST3GAL5","Q9UNP4"
"seq.10589.7","RET1L","Retinoic acid early transcript 1L protein","RAET1L","Q5VY80"
"seq.10600.24","CLGN","Calmegin","CLGN","O14967"
"seq.10603.1","HIS3","Histatin-3","HTN3","P15516"
"seq.10605.22","APMAP","Adipocyte plasma membrane-associated protein","APMAP","Q9HDC9"
"seq.10606.34","TOIP1:Perinuclear","Torsin-1A-interacting protein 1:Perinuclear domain","TOR1AIP1","Q5JTV8"
"seq.10608.9","HIS1","Histatin-1","HTN1","P15515"
"seq.10612.18","PLOD3","Procollagen-lysine;2-oxoglutarate 5-dioxygenase 3","PLOD3","O60568"
"seq.10613.33","CASC4","Protein CASC4","GOLM2","Q6P4E1"
"seq.10615.18","MYP0","Myelin protein P0","MPZ","P25189"
"seq.10616.67","PDXL2","Podocalyxin-like protein 2","PODXL2","Q9NZ53"
"seq.10618.190","megalin","Low-density lipoprotein receptor-related protein 2","LRP2","P98164"
"seq.10620.21","PSP-94","Beta-microseminoprotein","MSMB","P08118"
"seq.10621.26","PRR16","Protein Largen","PRR16","Q569H4"
"seq.10623.19","MUC1:region 1","Mucin-1:region 1","MUC1","P15941"
"seq.10624.45","ISK13","Serine protease inhibitor Kazal-type 13","SPINK13","Q1W4C9"
"seq.10626.116","SIA7C","Alpha-N-acetylgalactosaminide alpha-2;6-sialyltransferase 3","ST6GALNAC3","Q8NDV1"
"seq.10627.87","APLP2","Amyloid-like protein 2","APLP2","Q06481"
"seq.10630.5","HTAI2","Oxidoreductase HTATIP2","HTATIP2","Q9BUP3"
"seq.10631.9","PGRC2","Membrane-associated progesterone receptor component 2","PGRMC2","O15173"
"seq.10636.1","MO2R1:CD","Cell surface glycoprotein CD200 receptor 1:Isoform 4; Cytoplasmic Domain","CD200R1","Q8TD46"
"seq.10638.1","TINF2","TERF1-interacting nuclear factor 2","TINF2","Q9BSI4"
"seq.10643.16","NOE3:C-term","Noelin-3:Isoform 2; C-term","OLFM3","Q96PB7"
"seq.10647.18","ASCC1","Activating signal cointegrator 1 complex subunit 1","ASCC1","Q8N9N2"
"seq.10663.42","INSI1","Insulin-induced gene 1 protein","INSIG1","O15503"
"seq.10666.7","GNPTG","N-acetylglucosamine-1-phosphotransferase subunit gamma","GNPTG","Q9UJJ9"
"seq.10667.78","CA185","Uncharacterized protein C1orf185","C1orf185","Q5T7R7"
"seq.10668.5","STX4","Syntaxin-4","STX4","Q12846"
"seq.10693.43","KLRG2:C-term","Killer cell lectin-like receptor subfamily G member 2:C-term","KLRG2","A4D1S0"
"seq.10695.12","WF10B","Protein WFDC10B","WFDC10B","Q8IUB3"
"seq.10699.52","LRP1","Prolow-density lipoprotein receptor-related protein 1","LRP1","Q07954"
"seq.10700.10","IGS11:CD","Immunoglobulin superfamily member 11:Cytoplasmic domain","IGSF11","Q5DX21"
"seq.10702.1","COSA1","Collagen alpha-1(XXVIII) chain","COL28A1","Q2UY09"
"seq.10703.203","SDS3","Sin3 histone deacetylase corepressor complex component SDS3","SUDS3","Q9H7L9"
"seq.10704.91","LRMP","Lymphoid-restricted membrane protein","IRAG2","Q12912"
"seq.10705.14","SIA7C","Alpha-N-acetylgalactosaminide alpha-2;6-sialyltransferase 3","ST6GALNAC3","Q8NDV1"
"seq.10708.3","GON2","Progonadoliberin-2","GNRH2","O43555"
"seq.10710.23","ZPBP2","Zona pellucida-binding protein 2","ZPBP2","Q6X784"
"seq.10713.151","CLM7","CMRF35-like molecule 7","CD300LB","A8K4G0"
"seq.10714.7","ACE","Angiotensin-converting enzyme","ACE","P12821"
"seq.10716.35","PSMD5","26S proteasome non-ATPase regulatory subunit 5","PSMD5","Q16401"
"seq.10721.76","HSP 70","Heat shock 70 kDa protein 1A","HSPA1A","P0DMV8"
"seq.10722.13","KSYK:Protein Kinase","Tyrosine-protein kinase SYK:Protein kinase domain","SYK","P43405"
"seq.10731.10","HS3S5","Heparan sulfate glucosamine 3-O-sulfotransferase 5","HS3ST5","Q8IZT8"
"seq.10734.339","G3ST2","Galactose-3-O-sulfotransferase 2","GAL3ST2","Q9H3Q3"
"seq.10737.96","Serpin B1","Leukocyte elastase inhibitor","SERPINB1","P30740"
"seq.10738.11","fibulin 5","Fibulin-5","FBLN5","Q9UBX5"
"seq.10741.22","CSF-1","Macrophage colony-stimulating factor 1","CSF1","P09603"
"seq.10743.13","SLIK1","SLIT and NTRK-like protein 1","SLITRK1","Q96PX8"
"seq.10746.24","DKK3","Dickkopf-related protein 3","DKK3","Q9UBP4"
"seq.10748.216","PCDB2","Protocadherin beta-2","PCDHB2","Q9Y5E7"
"seq.10749.18","HSP 70","Heat shock 70 kDa protein 1A","HSPA1A","P0DMV8"
"seq.10752.8","CDYL2","Chromodomain Y-like protein 2","CDYL2","Q8N8U2"
"seq.10753.31","ADAM7","Disintegrin and metalloproteinase domain-containing protein 7","ADAM7","Q9H2U9"
"seq.10754.113","Prokineticin-2","Prokineticin-2","PROK2","Q9HC23"
"seq.10756.34","UCN3","Urocortin-3","UCN3","Q969E3"
"seq.10758.2","KERA","Keratocan","KERA","O60938"
"seq.10760.107","GRIA4","Glutamate receptor 4","GRIA4","P48058"
"seq.10761.5","TMED2","Transmembrane emp24 domain-containing protein 2","TMED2","Q15363"
"seq.10762.2","KLRG2:N-term","Killer cell lectin-like receptor subfamily G member 2:N-term","KLRG2","A4D1S0"
"seq.10767.52","GPR64","G-protein coupled receptor 64","ADGRG2","Q8IZP9"
"seq.10772.21","CGAT2","Chondroitin sulfate N-acetylgalactosaminyltransferase 2","CSGALNACT2","Q8N6G5"
"seq.10780.10","RAB3D","Ras-related protein Rab-3D","RAB3D","O95716"
"seq.10781.19","CLC4G","C-type lectin domain family 4 member G","CLEC4G","Q6UXB4"
"seq.10785.8","LRC52","Leucine-rich repeat-containing protein 52","LRRC52","Q8N7C0"
"seq.10798.4","CLM2","CMRF35-like molecule 2","CD300E","Q496F6"
"seq.10800.15","Collagen-binding protein","Serpin H1","SERPINH1","P50454"
"seq.10801.11","Ephrin-A2","Ephrin-A2","EFNA2","O43921"
"seq.10803.22","HSP 70","Heat shock 70 kDa protein 1A","HSPA1A","P0DMV8"
"seq.10809.14","KLRB1","Killer cell lectin-like receptor subfamily B member 1","KLRB1","Q12918"
"seq.10814.7","CD1A","T-cell surface glycoprotein CD1a","CD1A","P06126"
"seq.10815.2","HABP4","Intracellular hyaluronan-binding protein 4","HABP4","Q5JVS0"
"seq.10816.150","PILRA isoform FDF03-M14","Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-M14","PILRA","Q9UKJ1"
"seq.10817.26","TO20L","TOMM20-like protein 1","TOMM20L","Q6UXN7"
"seq.10818.36","ASM","Sphingomyelin phosphodiesterase","SMPD1","P17405"
"seq.10825.12","VSI10","V-set and immunoglobulin domain-containing protein 10","VSIG10","Q8N0Z9"
"seq.10827.67","LIGO3","Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3","LINGO3","P0C6S8"
"seq.10830.5","K0494:N-term","EF-hand calcium-binding domain-containing protein 14:N-term","EFCAB14","O75071"
"seq.10832.24","B4GT6","Beta-1;4-galactosyltransferase 6","B4GALT6","Q9UBX8"
"seq.10833.64","HHIP","Hedgehog-interacting protein","HHIP","Q96QV1"
"seq.10835.25","A4GCT","Alpha-1;4-N-acetylglucosaminyltransferase","A4GNT","Q9UNA3"
"seq.10842.7","GCNT4","Beta-1;3-galactosyl-O-glycosyl-glycoprotein beta-1;6-N-acetylglucosaminyltransferase 4","GCNT4","Q9P109"
"seq.10847.1","SIG15","Sialic acid-binding Ig-like lectin 15","SIGLEC15","Q6ZMC9"
"seq.10848.137","BTNL3","Butyrophilin-like protein 3","BTNL3","Q6UXE8"
"seq.10851.77","IL27B","Interleukin-27 subunit beta","EBI3","Q14213"
"seq.10854.15","GCNT4","Beta-1;3-galactosyl-O-glycosyl-glycoprotein beta-1;6-N-acetylglucosaminyltransferase 4","GCNT4","Q9P109"
"seq.10855.55","PLXB2","Plexin-B2","PLXNB2","O15031"
"seq.10866.60","P4R3A","Serine/threonine-protein phosphatase 4 regulatory subunit 3A","PPP4R3A","Q6IN85"
"seq.10870.32","Spastin:MIT","Spastin:Microtubule interacting and trafficking domain","SPAST","Q9UBP0"
"seq.10876.300","BRAT1","BRCA1-associated ATM activator 1","BRAT1","Q6PJG6"
"seq.10880.38","F163B","Protein FAM163B","FAM163B","P0C2L3"
"seq.10882.12","Desmocollin-1","Desmocollin-1","DSC1","Q08554"
"seq.10885.36","CF089","Bombesin receptor-activated protein C6orf89","C6orf89","Q6UWU4"
"seq.10889.2","MRAP2","Melanocortin-2 receptor accessory protein 2","MRAP2","Q96G30"
"seq.10890.135","LCTL","Lactase-like protein","LCTL","Q6UWM7"
"seq.10892.8","OSMR","Oncostatin-M-specific receptor subunit beta","OSMR","Q99650"
"seq.10894.25","Secretagogin","Secretagogin","SCGN","O76038"
"seq.10895.28","TM11B","Transmembrane protease serine 11B","TMPRSS11B","Q86T26"
"seq.10900.272","STMN2","Stathmin-2","STMN2","Q93045"
"seq.10902.53","APRV1","Retroviral-like aspartic protease 1","ASPRV1","Q53RT3"
"seq.10903.50","STX8","Syntaxin-8","STX8","Q9UNK0"
"seq.10907.116","NTRI","Neurotrimin","NTM","Q9P121"
"seq.10908.2","GLT13","Polypeptide N-acetylgalactosaminyltransferase 13","GALNT13","Q8IUC8"
"seq.10910.6","CEAM4","Carcinoembryonic antigen-related cell adhesion molecule 4","CEACAM4","O75871"
"seq.10916.44","PLA2R","Secretory phospholipase A2 receptor","PLA2R1","Q13018"
"seq.10917.40","GBGT2","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2","GNGT2","O14610"
"seq.10924.258","NEUFC","Neuferricin","CYB5D2","Q8WUJ1"
"seq.10933.107","CABP8","Calcium-binding protein 8","CALN1","Q9BXU9"
"seq.10938.13","sLFA-3","Lymphocyte function-associated antigen 3","CD58","P19256"
"seq.10939.16","PKHA4","Pleckstrin homology domain-containing family A member 4","PLEKHA4","Q9H4M7"
"seq.10940.25","SRCA","Sarcalumenin","SRL","Q86TD4"
"seq.10945.11","Syntaxin-6","Syntaxin-6","STX6","O43752"
"seq.10948.14","PLD3","Phospholipase D3","PLD3","Q8IV08"
"seq.10949.59","RLA2","60S acidic ribosomal protein P2","RPLP2","P05387"
"seq.10953.14","CLC2A","C-type lectin domain family 2 member A","CLEC2A","Q6UVW9"
"seq.10955.4","CLC10","C-type lectin domain family 10 member A","CLEC10A","Q8IUN9"
"seq.10956.82","GCSH","Glycine cleavage system H protein; mitochondrial","GCSH","P23434"
"seq.10959.125","BET1L","BET1-like protein","BET1L","Q9NYM9"
"seq.10961.15","TIG3","Retinoic acid receptor responder protein 3","PLAAT4","Q9UL19"
"seq.10966.1","a2-HS-Glycoprotein","Alpha-2-HS-glycoprotein","AHSG","P02765"
"seq.10967.12","PRL","Prolactin","PRL","P01236"
"seq.10970.3","NAR3","Ecto-ADP-ribosyltransferase 3","ART3","Q13508"
"seq.10974.20","ISK7","Serine protease inhibitor Kazal-type 7","SPINK7","P58062"
"seq.10975.59","MUCL1","Mucin-like protein 1","MUCL1","Q96DR8"
"seq.10976.44","MUC1:region 3","Mucin-1:region 3","MUC1","P15941"
"seq.10977.55","UCMA","Unique cartilage matrix-associated protein","UCMA","Q8WVF2"
"seq.10978.39","SOM2","Growth hormone variant","GH2","P01242"
"seq.10980.11","ACES","Acetylcholinesterase","ACHE","P22303"
"seq.10981.56","NRG3","Pro-neuregulin-3; membrane-bound isoform","NRG3","P56975"
"seq.10990.21","LRRK2","Leucine-rich repeat serine/threonine-protein kinase 2","LRRK2","Q5S007"
"seq.11067.13","Osteocalcin","Osteocalcin","BGLAP","P02818"
"seq.11071.1","IL-5","Interleukin-5","IL5","P05113"
"seq.11081.1","GPDA","Glycerol-3-phosphate dehydrogenase [NAD(+)]; cytoplasmic","GPD1","P21695"
"seq.11083.23","NSE","Gamma-enolase","ENO2","P09104"
"seq.11089.7","IgA","Immunoglobulin A","IGHA1|IGHA2","P01876|P01877"
"seq.11094.104","LPPL","Galectin-10","CLC","Q05315"
"seq.11096.57","HEMK2","HemK methyltransferase family member 2","N6AMT1","Q9Y5N5"
"seq.11098.1","PDXK","Pyridoxal kinase","PDXK","O00764"
"seq.11101.18","TLR4","Toll-like receptor 4","TLR4","O00206"
"seq.11102.22","REG4","Regenerating islet-derived protein 4","REG4","Q9BYZ8"
"seq.11103.24","HSP 27","Heat shock protein beta-1","HSPB1","P04792"
"seq.11104.13","YKL-40","Chitinase-3-like protein 1","CHI3L1","P36222"
"seq.11105.171","Alpha enolase","Alpha-enolase","ENO1","P06733"
"seq.11107.25","TEN3","Teneurin-3","TENM3","Q9P273"
"seq.11109.56","SVEP1:Sushi 15-18","Sushi; von Willebrand factor type A; EGF and pentraxin domain-containing protein 1:Sushi 15-18","SVEP1","Q4LDE5"
"seq.11110.4","TM119","Transmembrane protein 119","TMEM119","Q4V9L6"
"seq.11112.18","KISHA","Protein kish-A","TMEM167A","Q8TBQ9"
"seq.11116.16","CK087","Uncharacterized protein C11orf87","C11orf87","Q6NUJ2"
"seq.11117.2","SPT20","Spermatogenesis-associated protein 20","SPATA20","Q8TB22"
"seq.11120.49","NAT14","N-acetyltransferase 14","NAT14","Q8WUY8"
"seq.11121.56","VWC2","Brorin","VWC2","Q2TAL6"
"seq.11122.97","SPG21","Maspardin","SPG21","Q9NZD8"
"seq.11126.102","TRIO","Triple functional domain protein","TRIO","O75962"
"seq.11128.29","T132C:CD","Transmembrane protein 132C:Cytoplasmic domain","TMEM132C","Q8N3T6"
"seq.11129.66","BMP15","Bone morphogenetic protein 15","BMP15","O95972"
"seq.11130.158","CACB4","Voltage-dependent L-type calcium channel subunit beta-4","CACNB4","O00305"
"seq.11134.30","RF1ML","Peptide chain release factor 1-like; mitochondrial","MTRF1L","Q9UGC7"
"seq.11135.5","RM55","39S ribosomal protein L55; mitochondrial","MRPL55","Q7Z7F7"
"seq.11137.43","IL3RB:CD","Cytokine receptor common subunit beta:Cytoplasmic domain","CSF2RB","P32927"
"seq.11138.16","RUNX3","Runt-related transcription factor 3","RUNX3","Q13761"
"seq.11140.56","CO1A1:C-term propeptide","Collagen alpha-1(I) chain:C-term propeptide","COL1A1","P02452"
"seq.11142.11","ANGL1:C-term","Angiopoietin-related protein 1:C-Term; Fibrinogen domian","ANGPTL1","O95841"
"seq.11143.32","NOE3:N-term","Noelin-3:Isoform 2; N-term","OLFM3","Q96PB7"
"seq.11144.10","DB116","Beta-defensin 116","DEFB116","Q30KQ4"
"seq.11145.72","K154L","UPF0606 protein KIAA1549L","KIAA1549L","Q6ZVL6"
"seq.11146.4","TBX22","T-box transcription factor TBX22","TBX22","Q9Y458"
"seq.11147.17","TRML1:ITIM","Trem-like transcript 1 protein:immunoreceptor tyrosine-based inhibition motif","TREML1","Q86YW5"
"seq.11149.3","TLR1:CD","Toll-like receptor 1:Cytoplasmic domain","TLR1","Q15399"
"seq.11150.3","Collagen a1(VI)","Collagen alpha-1(VI) chain","COL6A1","P12109"
"seq.11152.46","kallikrein 13","Kallikrein-13","KLK13","Q9UKR3"
