AptName,TargetFullName,Target,UniProt,logFC,AveExpr,t,P.Value,adj.P.Val,B
seq.11278.4,Collagen alpha-2(XI) chain,COL11A2,P13942,1.390773093,11.44624901,3.60942591,0.001860947,0.982436854,-3.459590696
seq.6296.36,Oncoprotein-induced transcript 3 protein,OIT3,Q8WWZ8,-0.918573813,10.61619878,-3.450698087,0.002669763,0.982436854,-3.533755282
seq.9923.6,Son of sevenless homolog 1,SOS1,Q07889,0.42796175,9.222953175,3.41642026,0.002885506,0.982436854,-3.549947945
seq.22946.55,Alpha-1-syntrophin,Alpha-1-syntrophin,Q13424,0.281392891,10.11708948,3.361964402,0.003264013,0.982436854,-3.575791599
seq.10605.22,Adipocyte plasma membrane-associated protein,APMAP,Q9HDC9,0.395550375,8.189474524,3.330488292,0.003504616,0.982436854,-3.590793205
seq.23285.51,BTB/POZ domain-containing protein KCTD2,KCTD2,Q14681,0.387499744,9.408478284,3.320713129,0.003582818,0.982436854,-3.59546121
seq.5699.19,Protein FAM189A2,CI061,Q15884,1.031592224,12.56805811,3.282046255,0.003909277,0.982436854,-3.613967056
seq.8299.66,Leukocyte immunoglobulin-like receptor subfamily A member 4,LIRA4,P59901,0.436328163,11.25866345,3.236471801,0.004331577,0.982436854,-3.635859223
seq.6544.33,Protein kinase C-binding protein NELL1,NELL1,Q92832,0.657027015,11.44046488,3.149806383,0.005261082,0.982436854,-3.677709253
seq.21355.4,Upstream stimulatory factor 1,USF1,P22415,-1.205984672,11.26627505,-3.044576513,0.006652996,0.982436854,-3.72885662
seq.5363.51,Semaphorin-3E,Semaphorin 3E,O15041,0.287579009,10.80056737,3.043926365,0.006662619,0.982436854,-3.729173604
seq.22560.1,Protein EVI2A,EVI2A,P22794,-2.331393507,12.39029123,-3.041752849,0.006694887,0.982436854,-3.730233394
seq.21435.143,Serine/threonine-protein kinase SRPK2,SRPK2,P78362,1.095947587,11.28163316,3.018375981,0.007051655,0.982436854,-3.741639247
seq.10704.91,Lymphoid-restricted membrane protein,LRMP,Q12912,0.483843658,7.812312085,3.016187743,0.007085978,0.982436854,-3.742707594
seq.6997.32,Ras-related protein Rab-26,RAB26,Q9ULW5,0.285546646,10.9477554,2.989726894,0.007514045,0.982436854,-3.755635079
seq.8358.30,Thioredoxin-dependent peroxide reductase; mitochondrial,Peroxiredoxin-3,P30048,-0.680382463,11.65172291,-2.908004438,0.008999781,0.982436854,-3.795649065
seq.10741.22,Macrophage colony-stimulating factor 1,CSF-1,P09603,-0.723248653,7.563328847,-2.869373022,0.009797072,0.982436854,-3.814601288
seq.8660.5,Olfactomedin-like protein 3,OLFL3,Q9NRN5,0.629339319,12.65946254,2.866375625,0.009861696,0.982436854,-3.816072557
seq.12800.5,Tubulin polymerization-promoting protein family member 2,TPPP2,P59282,0.578152492,11.63886562,2.862844561,0.009938351,0.982436854,-3.817805904
seq.15559.5,Anthrax toxin receptor 2,ANTR2,P58335,0.942183025,11.27946038,2.862618314,0.009943282,0.982436854,-3.81791697
seq.8851.42,Protein FAM171B:Extracellular domain,F171B:ECD,Q6P995,0.213045565,9.824465774,2.851199976,0.010195221,0.982436854,-3.823522989
seq.21328.2,Synaptotagmin-1,SYT1,P21579,0.340196213,9.653434357,2.850871951,0.010202548,0.982436854,-3.823684058
seq.11318.20,Apolipoprotein A-V,Apo A-V,Q6Q788,1.158206864,11.27884674,2.831436218,0.010645849,0.982436854,-3.833229252
seq.12446.49,Glutathione S-transferase A1,GST A1-1,P08263,-0.584469807,12.28695602,-2.772745423,0.012099387,0.982436854,-3.862068685
seq.4840.73,Granulocyte colony-stimulating factor,G-CSF,P09919,0.874896554,10.90774284,2.770255888,0.012165063,0.982436854,-3.863292314
seq.9242.11,Betacellulin,BTC,P35070,0.59646287,10.87733507,2.75962811,0.012449284,0.982436854,-3.868516101
seq.12574.36,Endothelin-2,Endothelin 2,P20800,0.999576453,10.7032906,2.758929791,0.012468179,0.982436854,-3.868859347
seq.9388.18,Methylmalonyl-CoA epimerase; mitochondrial,MCEE,Q96PE7,0.624933776,11.73549881,2.756046597,0.012546486,0.982436854,-3.870276531
seq.5719.66,Protein FAM189A2,CI061,Q15884,0.292099113,10.82010981,2.711070492,0.013830497,0.982436854,-3.892383239
seq.11140.56,Collagen alpha-1(I) chain:C-term propeptide,CO1A1:C-term propeptide,P02452,0.663625736,10.78004386,2.698460837,0.014212388,0.982436854,-3.898580256
seq.15303.63,Protein S100-A5,S100A5,P33763,-0.69510178,12.49918304,-2.680570757,0.014771457,0.982436854,-3.907370983
seq.5635.66,Triggering receptor expressed on myeloid cells 2,TREM2,Q9NZC2,-0.386437616,12.02126169,-2.676259599,0.014909276,0.982436854,-3.909489082
seq.3366.51,Extracellular matrix protein 1,ECM1,Q16610,0.733639699,14.04284006,2.671759584,0.015054436,0.982436854,-3.911699827
seq.5852.6,Protein S100-A12,S100A12,P80511,-0.794570865,13.12298406,-2.6626151,0.015353563,0.982436854,-3.916191806
seq.3166.92,Myeloid cell surface antigen CD33,Siglec-3,P20138,0.695785393,10.80636713,2.64972306,0.015784878,0.982436854,-3.922523452
seq.12384.92,COP9 signalosome complex subunit 7b,CSN7B,Q9H9Q2,-0.569298714,12.55915355,-2.647475277,0.015861248,0.982436854,-3.923627243
seq.21143.10,Calcyphosin,Calcyphosin,Q13938,0.453543512,10.55514467,2.635176824,0.016285337,0.982436854,-3.929665558
seq.8021.59,39S ribosomal protein L14; mitochondrial,RM14,Q6P1L8,1.394549295,11.36776066,2.635030116,0.01629046,0.982436854,-3.929737579
seq.7191.32,Sarcolemmal membrane-associated protein,SLMAP,Q14BN4,-1.234932168,10.45768214,-2.623301385,0.016705025,0.982436854,-3.935494562
seq.8973.23,Fc receptor-like protein 4:Extracellular domain,FCRL4:ECD,Q96PJ5,-0.93916609,10.10556373,-2.610906916,0.017153972,0.982436854,-3.941576438
seq.3320.49,Insulin-like growth factor-binding protein 7,IGFBP-7,Q16270,0.414757199,14.74222116,2.608392585,0.017246428,0.982436854,-3.942809949
seq.13652.2,TOM1-like protein 1,TM1L1,O75674,-0.386765082,11.61870858,-2.587275608,0.018041755,0.982436854,-3.953166075
seq.18413.24,ADP-ribosylation factor-like protein 4D,ARL4D,P49703,0.555098647,8.920370749,2.58247168,0.018227464,0.982436854,-3.955521018
seq.18947.3,Leucine-rich repeat-containing protein 3B,LRC3B,Q96PB8,0.653288578,9.919845874,2.578754468,0.018372401,0.982436854,-3.957342972
seq.9386.42,Tetratricopeptide repeat protein 9B,TTC9B,Q8N6N2,1.617477099,10.11874524,2.572169042,0.018631848,0.982436854,-3.960570161
seq.10557.6,Testis-expressed sequence 29 protein,TEX29,Q8N6K0,-0.493751774,11.77208902,-2.568917066,0.018761238,0.982436854,-3.962163505
seq.2860.19,Importin subunit alpha-1,Karyopherin-a2,P52292,0.489000859,8.759124367,2.554112359,0.019361083,0.982436854,-3.969414728
seq.22500.9,Mediator of RNA polymerase II transcription subunit 11,MED11,Q9P086,0.293862022,10.45614817,2.537844794,0.02004103,0.982436854,-3.977377367
seq.4708.3,Estradiol 17-beta-dehydrogenase 1,17-beta-HSD 1,P14061,0.286748922,10.23574874,2.533772936,0.02021471,0.982436854,-3.979369571
seq.5621.64,Thrombospondin type-1 domain-containing protein 1,THSD1,Q9NS62,0.308326638,10.07040371,2.525231614,0.020583645,0.982436854,-3.983547302
seq.8229.1,Glucoside xylosyltransferase 1,GXLT1,Q4G148,0.328321303,10.63262656,2.518279728,0.020888593,0.982436854,-3.986946357
seq.13492.44,Stress-70 protein; mitochondrial,HSPA9B,P38646,-0.817048042,11.96989695,-2.512721134,0.021135475,0.982436854,-3.989663342
seq.21135.16,Splicing factor 3B subunit 6,SF3B6,Q9Y3B4,0.212426485,11.42885619,2.495839827,0.021902166,0.982436854,-3.997909995
seq.21940.12,Protein Wnt-10b,WN10B,O00744,0.262192174,11.01261624,2.494678233,0.02195587,0.982436854,-3.99847717
seq.25414.11,Late cornified envelope protein 3B,LCE3B,Q5TA77,0.445104854,10.31157927,2.491392627,0.022108446,0.982436854,-4.000081248
seq.12649.80,Malate dehydrogenase; mitochondrial,Malate dehydrogenase 2,P40926,-0.854252994,14.35415312,-2.483860126,0.022462002,0.982436854,-4.003757605
seq.21796.43,Glutathione peroxidase 3,Glutathione peroxidase 3,P22352,0.346860741,11.75462145,2.483795755,0.022465046,0.982436854,-4.003789015
seq.6556.5,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,ENPP5,Q9UJA9,0.325333197,10.69504344,2.476582216,0.02280864,0.982436854,-4.007308196
seq.8890.9,Transmembrane protein 132B,T132B,Q14DG7,0.360634495,12.08931828,2.451382291,0.024048003,0.982436854,-4.019590107
seq.15534.26,Malate dehydrogenase; mitochondrial,Malate dehydrogenase 2,P40926,-0.88652144,13.12574086,-2.446051939,0.024318109,0.982436854,-4.022185484
seq.9816.37,Isochorismatase domain-containing protein 1,ISOC1,Q96CN7,-0.527716771,14.08348939,-2.43837528,0.0247121,0.982436854,-4.025921667
seq.23148.100,Endothelial cell-derived lipase,Endothelial lipase,Q9Y5X9,0.323189693,11.3784187,2.430699734,0.025111993,0.982436854,-4.029655344
seq.22514.12,Protein naked cuticle homolog 2,NKD2,Q969F2,-0.256859018,10.66486567,-2.409926665,0.026224781,0.982436854,-4.039749882
seq.10647.18,Activating signal cointegrator 1 complex subunit 1,ASCC1,Q8N9N2,-0.442055898,11.53932401,-2.406529363,0.02641109,0.982436854,-4.041399298
seq.8885.6,Voltage-dependent calcium channel subunit alpha-2/delta-3,CA2D3,Q8IZS8,0.450928916,11.38076738,2.40341792,0.026582804,0.982436854,-4.042909552
seq.23903.3,Aspartate aminotransferase; mitochondrial,GOT2,P00505,-0.748480825,10.93986876,-2.399074295,0.02682426,0.982436854,-4.045017283
seq.10606.34,Torsin-1A-interacting protein 1:Perinuclear domain,TOIP1:Perinuclear,Q5JTV8,-0.368004252,12.16612277,-2.392621212,0.027186755,0.982436854,-4.048147293
seq.6557.50,Leucine-rich repeat-containing protein 15,LRC15,Q8TF66,0.607315545,9.916583578,2.391567057,0.027246403,0.982436854,-4.048658449
seq.24899.13,Epidermal growth factor receptor kinase substrate 8-like protein 1,ES8L1,Q8TE68,0.571481199,8.576126236,2.39046416,0.027308939,0.982436854,-4.049193193
seq.6955.68,Sorting nexin-1,SNX1,Q13596,-0.495475412,11.2604882,-2.38650789,0.027534367,0.982436854,-4.051111014
seq.23386.38,T-complex protein 10A homolog 2,TCP2L,B9ZVM9,-0.49030517,10.5303143,-2.377796471,0.028036864,0.982436854,-4.055331722
seq.20458.22,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,NDUA2,O43678,-0.457780987,9.037203703,-2.375898754,0.028147455,0.982436854,-4.056250765
seq.5599.88,Prenylcysteine oxidase-like,PCYXL,Q8NBM8,-0.288557868,12.60106125,-2.373228276,0.028303767,0.982436854,-4.057543798
seq.12747.89,RNA-binding protein 3,RBM3,P98179,-0.782089267,13.72714148,-2.367508543,0.02864128,0.982436854,-4.060312274
seq.18233.10,Aspartate aminotransferase; mitochondrial,GOT2,P00505,-0.86122844,12.72995692,-2.363852353,0.028858982,0.982436854,-4.062081233
seq.13733.5,Interleukin-12 subunit beta,IL-12 p40,P29460,0.364062927,8.401591025,2.351155158,0.029627014,0.982436854,-4.068220025
seq.3173.49,N-acylethanolamine-hydrolyzing acid amidase,ASAHL,Q02083,0.611532371,12.69464298,2.344473415,0.030038759,0.982436854,-4.071447661
seq.21764.99,Ubiquitin carboxyl-terminal hydrolase 30,UBP30,Q70CQ3,0.231741894,10.29326914,2.343259968,0.030114102,0.982436854,-4.072033606
seq.22375.15,Homeobox protein Hox-A11,HXA11,P31270,-0.551258135,9.505779471,-2.342045638,0.030189675,0.982436854,-4.072619912
seq.5478.50,Glutamate carboxypeptidase 2,PSMA,Q04609,-1.228121532,9.852836765,-2.341108742,0.030248102,0.982436854,-4.073072221
seq.11157.35,Heat shock 70 kDa protein 1A,HSP 70,P0DMV8,-0.324061427,12.30243113,-2.339762405,0.030332246,0.982436854,-4.073722128
seq.8778.3,Noggin,Noggin,Q13253,0.376141539,9.127536074,2.325958343,0.031207591,0.982436854,-4.080380858
seq.8289.8,Transmembrane glycoprotein NMB:Extracellular domain,GPNMB:ECD,Q14956,0.395603109,9.60734336,2.324790276,0.031282725,0.982436854,-4.080943897
seq.18182.24,Phosphoenolpyruvate carboxykinase; cytosolic [GTP],PCKGC,P35558,0.369177778,11.17015078,2.318736658,0.031674801,0.982436854,-4.083860861
seq.20512.2,Melanoma-associated antigen MUC18,MUC18,P43121,0.375207166,11.04095064,2.318648423,0.031680549,0.982436854,-4.083903365
seq.7851.30,Ankyrin repeat domain-containing protein 46,ANR46,Q86W74,0.500648967,11.34442166,2.30697429,0.032449649,0.982436854,-4.089523557
seq.14636.25,Ribonuclease UK114,Ribonuclease UK114,P52758,-0.92689351,12.63418731,-2.302747647,0.032732335,0.982436854,-4.091556705
seq.5680.54,Odorant-binding protein 2b,OBP2B,Q9NPH6,0.638494623,9.406973963,2.300423656,0.032888736,0.982436854,-4.092674238
seq.23410.46,Eukaryotic translation initiation factor 3 subunit M,EIF3M,Q7L2H7,-0.856745087,11.70951662,-2.295843872,0.033198971,0.982436854,-4.094875711
seq.6379.62,ADAMTS-like protein 2,ATL2,Q86TH1,0.341138316,10.45602028,2.294975918,0.03325807,0.982436854,-4.095292811
seq.25292.4,Carboxylesterase 3,EST3,Q6UWW8,-1.117665293,14.52609408,-2.294107711,0.033317283,0.982436854,-4.095709994
seq.22474.28,Homeobox protein Hox-C11,HXC11,O43248,0.325485325,12.13657831,2.288510504,0.033701367,0.982436854,-4.098398585
seq.14318.1,Vacuolar protein sorting-associated protein 29,VPS29,Q9UBQ0,-0.344858678,13.46726568,-2.287928566,0.033741534,0.982436854,-4.098678023
seq.4968.50,Macrophage-capping protein,CAPG,P40121,-0.830246259,11.5199882,-2.287725755,0.033755542,0.982436854,-4.098775406
seq.13671.40,Neutrophil elastase,Elastase,P08246,-0.56207622,17.38739434,-2.287489411,0.033771874,0.982436854,-4.098888887
seq.3169.70,Alpha-L-iduronidase,IDUA,P35475,0.486268357,10.75699247,2.286384751,0.033848305,0.982436854,-4.099419255
seq.15455.40,Disintegrin and metalloproteinase domain-containing protein 15:Extracellular domain,ADA15:ECD,Q13444,-0.592654465,13.1307836,-2.279481285,0.03432958,0.982436854,-4.10273229
seq.7871.16,Transmembrane protein 132A,T132A,Q24JP5,0.501026577,10.87731873,2.277449521,0.034472422,0.982436854,-4.103706873
seq.13085.18,Glucagon-like peptide 1 receptor:Cytoplasmic domain,GLP1R:CD,P43220,0.624962394,10.54330035,2.273937038,0.034720658,0.982436854,-4.105391196
seq.23541.61,Citrate lyase subunit beta-like protein; mitochondrial,CLYBL,Q8N0X4,-1.194719615,10.09131333,-2.270419969,0.034970869,0.982436854,-4.107077054
seq.4534.10,Brain-specific serine protease 4,BSSP4,Q9GZN4,0.281380819,9.736242861,2.269292821,0.035051407,0.982436854,-4.107617195
seq.24423.9,Protein phosphatase 1 regulatory subunit 3G,PP13G,B7ZBB8,0.300845942,9.112659589,2.266307217,0.035265564,0.982436854,-4.109047593
seq.11608.5,Microtubule-associated proteins 1A/1B light chain 3B,MLP3B,Q9GZQ8,-0.928573603,13.14848633,-2.262458305,0.035543424,0.982436854,-4.11089088
seq.17150.8,10 kDa heat shock protein; mitochondrial,HSP 10,P61604,-0.787063569,11.55934327,-2.259082237,0.035788807,0.982436854,-4.112507044
seq.9595.11,Beta-1;4-galactosyltransferase 2,B4GT2,O60909,0.258196505,9.483197747,2.25718431,0.035927438,0.982436854,-4.113415325
seq.10737.96,Leukocyte elastase inhibitor,Serpin B1,P30740,-0.900930876,13.43351841,-2.2569935,0.035941403,0.982436854,-4.113506629
seq.14273.19,Prolyl endopeptidase,PPCE,P48147,-0.985923418,10.64350908,-2.253421386,0.036203757,0.982436854,-4.115215533
seq.13416.8,Transmembrane protein 132D,T132D,Q14C87,0.507619067,11.79066413,2.245052863,0.036825297,0.982436854,-4.119216215
seq.3367.8,Fetuin-B,FETUB,Q9UGM5,0.530592379,13.51989454,2.242477341,0.037018549,0.982436854,-4.120446669
seq.23284.5,LIM domain only transcription factor protein 4,LMO4,P61968,-0.352502226,11.8020537,-2.235563957,0.037541906,0.982436854,-4.123747632
seq.7210.25,Amyloid-like protein 1,Amyloid-like protein 1,P51693,0.59591214,11.00181358,2.230815839,0.037905276,0.982436854,-4.126013112
seq.2612.5,Eukaryotic translation initiation factor 5,eIF-5,P55010,-1.328265604,12.07862962,-2.227326729,0.03817435,0.982436854,-4.127677025
seq.15569.15,Collagen Type II,Collagen II,P02458,0.296023835,9.630891332,2.22261773,0.038540279,0.982436854,-4.129921532
seq.4250.23,NSFL1 cofactor p47,NSF1C,Q9UNZ2,-1.227302135,11.43319887,-2.217689984,0.03892665,0.982436854,-4.132268867
seq.12001.7,Tight junction protein ZO-1,ZO1,Q07157,0.466904451,8.912858554,2.214664592,0.039165618,0.982436854,-4.13370928
seq.17784.23,Glia maturation factor beta,GMFB,P60983,-0.79972468,13.85609776,-2.206973942,0.03977915,0.982436854,-4.137368315
seq.7831.39,Retinol-binding protein 4,RBP,P02753,-0.437240303,14.86972571,-2.20089646,0.040270203,0.982436854,-4.140257226
seq.8000.17,Killer cell immunoglobulin-like receptor 2DL5A,KI2LA,Q8N109,-1.079959908,10.15615953,-2.200267785,0.040321314,0.982436854,-4.140555932
seq.9211.19,Pigment epithelium-derived factor,PEDF,P36955,-0.192203863,16.41864573,-2.199059566,0.04041971,0.982436854,-4.141129929
seq.21696.80,Leucine-rich repeat and fibronectin type-III domain-containing protein 4,LRFN4,Q6PJG9,0.399151355,11.18379407,2.197977456,0.040508022,0.982436854,-4.141643935
seq.21329.66,Pyridoxal phosphate phosphatase PHOSPHO2,PHOP2,Q8TCD6,-0.196240349,12.64810733,-2.194557567,0.040788283,0.982436854,-4.143267904
seq.24967.4,Protocadherin-1,PCDH1,Q08174,-0.218560501,8.752049514,-2.192886158,0.040925901,0.982436854,-4.144061317
seq.24707.6,Uncharacterized protein CXorf38,CX038,Q8TB03,0.403520624,9.67191078,2.19258395,0.040950829,0.982436854,-4.144204755
seq.8773.172,EMILIN-3:region 1,EMIL3:region 1,Q9NT22,0.240628,9.327255046,2.191082964,0.041074845,0.982436854,-4.144917086
seq.21118.48,GTP cyclohydrolase I feedback regulatory protein,GFRP,P30047,-0.885605913,11.43050202,-2.188599578,0.041280784,0.982436854,-4.146095319
seq.12746.4,Cytohesin-4,CYH4,Q9UIA0,-0.275253338,11.65728885,-2.183910133,0.041672241,0.982436854,-4.148319112
seq.23307.7,Clusterin-associated protein 1,CLUA1,Q96AJ1,-0.652703084,11.97626196,-2.180608027,0.04194992,0.982436854,-4.149884147
seq.18938.3,Very low-density lipoprotein receptor,VLDLR,P98155,0.403041606,11.00650488,2.179870585,0.042012164,0.982436854,-4.15023356
seq.12724.81,Cold-inducible RNA-binding protein,CIRBP,Q14011,-0.885965533,12.61298397,-2.172539432,0.042635546,0.982436854,-4.153705219
seq.5250.53,Inosine-5'-monophosphate dehydrogenase 2,IMDH2,P12268,-0.301502893,12.13701779,-2.172460178,0.042642331,0.982436854,-4.15374273
seq.22528.1,PHD finger protein 11,PHF11,Q9UIL8,-0.666231179,13.29267451,-2.169390305,0.042905905,0.982436854,-4.155195379
seq.10615.18,Myelin protein P0,MYP0,P25189,0.428821045,10.24492861,2.16920255,0.042922074,0.982436854,-4.155284203
seq.9832.33,Homogentisate 1;2-dioxygenase,HGD,Q93099,-0.614800814,10.00834714,-2.165885659,0.043208626,0.982436854,-4.156852981
seq.3813.3,Tyrosine-protein kinase Fyn,FYN,P06241,-0.802917363,11.65596915,-2.159028774,0.043806543,0.982436854,-4.160093676
seq.23621.326,Mitochondrial import inner membrane translocase subunit Tim13,TIM13,Q9Y5L4,-0.217738694,12.07027079,-2.156320146,0.044044804,0.982436854,-4.161372933
seq.23591.9,piRNA biogenesis protein EXD1,EXD1,Q8NHP7,-0.495191092,12.16015304,-2.15223026,0.044406805,0.982436854,-4.163303578
seq.5009.11,Moesin,Moesin,P26038,-0.528143383,10.64387304,-2.151074029,0.044509635,0.982436854,-4.16384917
seq.12352.70,Arrestin domain-containing protein 3,ARRD3,Q96B67,0.799939443,9.600699628,2.147885963,0.044794291,0.982436854,-4.165353038
seq.22371.46,Protein FAM110A,F110A,Q9BQ89,-0.569306694,13.0591971,-2.147706158,0.044810395,0.982436854,-4.165437834
seq.2751.16,Azurocidin,Azurocidin,P20160,-0.488977261,10.4219704,-2.144053734,0.045138656,0.982436854,-4.16715982
seq.5660.51,Extracellular superoxide dismutase [Cu-Zn],SOD3,P08294,0.518846378,11.75977179,2.143174803,0.045217975,0.982436854,-4.167574062
seq.5252.33,Dual 3';5'-cyclic-AMP and -GMP phosphodiesterase 11A,PDE11,Q9HCR9,0.291068349,10.66400016,2.142690658,0.045261722,0.982436854,-4.167802218
seq.18829.4,Eukaryotic initiation factor 4A-I,IF4A1,P60842,-1.171396715,13.52968666,-2.142288159,0.04529812,0.982436854,-4.167991885
seq.8458.111,Alpha-synuclein,a-Synuclein,P37840,-1.068768573,11.4652109,-2.142199295,0.045306159,0.982436854,-4.168033758
seq.8013.9,VIP36-like protein,LMA2L,Q9H0V9,-0.410560802,10.92202585,-2.139498411,0.045551131,0.982436854,-4.16930616
seq.15431.31,Ornithine carbamoyltransferase; mitochondrial,OTCase,P00480,-1.204390115,10.99580424,-2.138156324,0.045673306,0.982436854,-4.16993823
seq.21433.3,Butyrophilin subfamily 3 member A2,BT3A2,P78410,-0.475351437,14.26503546,-2.13646191,0.045827981,0.982436854,-4.170736048
seq.12831.21,Calcineurin B homologous protein 3,TESC,Q96BS2,-0.34679163,11.87377557,-2.13458411,0.045999952,0.982436854,-4.171619972
seq.10464.6,Anthrax toxin receptor 1,ANTR1,Q9H6X2,0.29932721,10.60377873,2.133084723,0.046137689,0.982436854,-4.172325584
seq.3046.31,Resistin,resistin,Q9HD89,-0.456750218,15.11921065,-2.132706731,0.046172472,0.982436854,-4.172503442
seq.10485.56,Melanoma-associated antigen 4,MAGE-4,P43358,-0.789520584,6.436459138,-2.131342448,0.046298209,0.982436854,-4.173145295
seq.13432.9,Protrudin:Cytoplasmic domain; region 1; isoform 6,ZFY27:CD region 1,Q5T4F4,0.268546902,9.528962476,2.130032735,0.04641921,0.982436854,-4.173761347
seq.12945.33,Ras-related protein Rab-18,RAB18,Q9NP72,-0.891358032,12.63390483,-2.127083137,0.046692769,0.982436854,-4.175148296
seq.2939.10,Artemin,Artemin,Q5T4W7,0.248963886,10.23190063,2.120191171,0.047337677,0.982436854,-4.178386515
seq.14597.5,Semaphorin-6C; cytoplasmic,SEM6C,Q9H3T2,0.675443727,9.083551481,2.120144078,0.047342112,0.982436854,-4.178408629
seq.21951.32,Aryl hydrocarbon receptor nuclear translocator,ARNT,P27540,-0.403940064,11.91991896,-2.117878455,0.047555892,0.982436854,-4.179472364
seq.16908.5,Oligodendrocyte-myelin glycoprotein,OMGP,P23515,0.534801653,11.71920259,2.116857369,0.047652527,0.982436854,-4.17995165
seq.20081.14,Serine/threonine-protein kinase Pim-2,PIM2,Q9P1W9,0.402955806,7.888819723,2.115972986,0.047736368,0.982436854,-4.180366706
seq.5490.53,Testican-1,Testican-1,Q08629,-0.39613908,12.86768994,-2.114260133,0.047899129,0.982436854,-4.18117041
seq.18411.83,ADP-ribosylation factor-like protein 15,ARL15,Q9NXU5,-0.184559432,11.14442,-2.112405475,0.048075933,0.982436854,-4.182040403
seq.13717.15,Ficolin-2,FCN2,Q15485,-0.448986228,14.38802698,-2.111407378,0.048171327,0.982436854,-4.182508489
seq.10818.36,Sphingomyelin phosphodiesterase,ASM,P17405,0.413936041,10.13324018,2.109243192,0.048378759,0.982436854,-4.183523186
seq.2579.17,Matrix metalloproteinase-9,MMP-9,P14780,-0.544575872,16.98500101,-2.108283696,0.048470983,0.982436854,-4.18397294
seq.4304.18,Ligand-dependent nuclear receptor corepressor-like protein,transcription factor MLR1; isoform CRA_b,Q8N3X6,0.252534198,8.740265607,2.104601538,0.048826383,0.982436854,-4.185698264
seq.18900.37,GTPase HRas,H-ras (WT),P01112,-0.344034767,12.25602018,-2.10386149,0.048898097,0.982436854,-4.186044898
seq.4960.72,Annexin A1,annexin I,P04083,-0.577768231,16.07013031,-2.102018007,0.049077153,0.982436854,-4.186908192
seq.23594.2,Nuclear receptor 2C2-associated protein,NR2CA,Q86WQ0,-0.389145541,9.571985925,-2.101656522,0.049112333,0.982436854,-4.187077443
seq.10382.1,Angiopoietin-related protein 3,ANGL3,Q9Y5C1,-0.375636175,15.9007247,-2.101537733,0.049123899,0.982436854,-4.187133059
seq.21942.14,Protein Wnt-16,WNT16,Q9UBV4,0.383757404,10.1548648,2.097782904,0.049490756,0.982436854,-4.188890479
seq.4135.84,Immunoglobulin E,IgE,P01854,1.643344783,14.37205735,2.096731334,0.049593941,0.982436854,-4.189382463
seq.13742.66,Interleukin-22,IL-22,Q9GZX6,-0.301234448,10.77282438,-2.095120804,0.049752352,0.982436854,-4.190135793
seq.25245.22,Synembryn-A,RIC8A,Q9NPQ8,-0.473783672,12.14634989,-2.093927713,0.049869998,0.982436854,-4.190693736
seq.3630.27,Cell adhesion molecule 3,Nectin-like protein 1,Q8N126,0.226732346,10.86464432,2.093676803,0.049894772,0.982436854,-4.190811058
seq.16300.4,Triggering receptor expressed on myeloid cells 2,TREM2,Q9NZC2,-0.516595939,14.04941829,-2.09315333,0.049946492,0.982436854,-4.191055811
seq.23390.6,Coiled-coil domain-containing protein 107,CC107,Q8WV48,-0.725826218,10.97997341,-2.091512133,0.050108962,0.982436854,-4.191823027
seq.5091.28,Leukocyte immunoglobulin-like receptor subfamily B member 2,ILT-4,Q8N423,0.364509901,12.98608072,2.088449493,0.050413426,0.982436854,-4.193254164
seq.7928.183,Protein-tyrosine sulfotransferase 1,TPST1,O60507,0.940029427,11.15396427,2.087604503,0.050497723,0.982436854,-4.193648888
seq.2828.82,Kunitz-type protease inhibitor 1,HAI-1,O43278,0.514369568,12.31903545,2.086437679,0.050614335,0.982436854,-4.194193859
seq.14009.65,Tumor necrosis factor alpha-induced protein 3,TNFAIP3,P21580,-0.250448968,10.8112416,-2.079950949,0.051267069,0.982436854,-4.197221552
seq.14203.3,Annexin A7,ANXA7,P20073,-1.284307475,15.27121557,-2.074837642,0.051786953,0.982436854,-4.199605827
seq.22385.2,PWWP domain-containing protein MUM1,MUM1,Q2TAK8,-0.332934113,11.25295007,-2.07332923,0.051941224,0.982436854,-4.200308779
seq.12594.5,Grancalcin,GRAN,P28676,-0.618894074,9.972283473,-2.06925941,0.052359533,0.982436854,-4.202204483
seq.17383.4,StAR-related lipid transfer protein 5,STAR5,Q9NSY2,-0.404830657,11.00261806,-2.067537132,0.052537468,0.982436854,-4.203006306
seq.7916.10,Protein S100-A7,S100A7,P31151,0.787212422,8.595398733,2.065674877,0.052730478,0.982436854,-4.203873024
seq.8589.13,CUB domain-containing protein 1,CDCP1,Q9H5V8,0.733898805,13.0402751,2.063571197,0.05294928,0.982436854,-4.204851763
seq.23589.21,Protein phosphatase 1 regulatory subunit 27,PPR27,Q86WC6,0.241480665,10.24212595,2.063112401,0.052997108,0.982436854,-4.20506517
seq.18435.40,UBX domain-containing protein 2B,UBX2B,Q14CS0,-0.652795369,8.896474752,-2.06224306,0.05308784,0.982436854,-4.205469492
seq.19118.47,Osteoclast-stimulating factor 1,OSTF1,Q92882,-0.631697157,12.50480867,-2.057010918,0.053636878,0.982436854,-4.207901592
