AptName,TargetFullName,Target,UniProt,logFC,AveExpr,t,P.Value,adj.P.Val,B
seq.17837.5,Chloride intracellular channel protein 2,CLIC2,O15247,-0.529346462,13.39383798,-1.419312265,0.171959915,0.982436854,-4.480856154
seq.11683.19,ADP-ribosylation factor-binding protein GGA3,GGA3,Q9NZ52,-0.69839848,11.62524804,-1.419130533,0.172012165,0.982436854,-4.480925405
seq.18432.32,Ras-related protein Ral-B,RALB,P11234,-0.477486188,10.03627417,-1.419113053,0.172017192,0.982436854,-4.480932066
seq.16823.75,Apolipoprotein L3,APOL3,O95236,0.619530922,10.97334247,1.418821602,0.172101016,0.982436854,-4.481043112
seq.17490.4,SH3 domain-binding glutamic acid-rich-like protein 3,SH3BGRL3-like protein,Q9H299,-0.85202072,11.11735709,-1.418739012,0.172124776,0.982436854,-4.481074577
seq.19219.71,Nuclear transport factor 2,NTF-2,P61970,-0.567898965,11.70003028,-1.418388445,0.172225658,0.982436854,-4.481208123
seq.12661.44,Gamma-aminobutyric acid receptor-associated protein-like 1,GBRL1,Q9H0R8,-0.503811935,10.79485468,-1.418377918,0.172228688,0.982436854,-4.481212133
seq.4237.70,Leucine carboxyl methyltransferase 1,LCMT1,Q9UIC8,-0.17527194,11.76101427,-1.417375527,0.172517411,0.982436854,-4.48159386
seq.18873.8,Carcinoembryonic antigen-related cell adhesion molecule 8,CEAM8,P31997,-0.475309881,14.48359725,-1.417019849,0.172619953,0.982436854,-4.481729265
seq.21370.45,Spindle and kinetochore-associated protein 1,SKA1,Q96BD8,-0.199995524,11.13070255,-1.416502644,0.17276915,0.982436854,-4.481926121
seq.11288.26,Cytosolic purine 5'-nucleotidase,5NTC,P49902,-0.450253775,12.22516825,-1.416427304,0.172790892,0.982436854,-4.481954793
seq.10366.11,Platelet-derived growth factor receptor alpha,PDGFRA,P16234,0.153171454,11.10242589,1.416362209,0.172809679,0.982436854,-4.481979565
seq.9402.18,Discoidin; CUB and LCCL domain-containing protein 1,DCBD1,Q8N8Z6,-0.369398971,9.317565002,-1.415832772,0.172962542,0.982436854,-4.482181013
seq.2938.55,Apolipoprotein E (isoform E4),Apo E4,P02649,-0.266436592,16.10668043,-1.415641872,0.173017687,0.982436854,-4.482253637
seq.10053.5,Integrin-linked protein kinase,ILK1,Q13418,-0.792436344,11.85170527,-1.415413567,0.173083655,0.982436854,-4.482340483
seq.11664.32,ADP-ribosylation factor GTPase-activating protein 2,ARFG2,Q8N6H7,-0.636526647,11.87825158,-1.415395888,0.173088764,0.982436854,-4.482347208
seq.2760.2,Protein FAM107A,DRR1,O95990,0.083707152,8.883239914,1.414858241,0.173244201,0.982436854,-4.482551686
seq.9899.28,Kinesin-like protein KIF1C,KIF1C,O43896,-0.28728423,10.78936915,-1.41484572,0.173247822,0.982436854,-4.482556447
