pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,0.00663485710988661,0.0318339103757186,0.407017918923954,0.469634102027268,1.62877378544359,38,UBC|CRKL|PTPN6|SHC1|TEC|GRB2|PTPN11|RPS27A|CSF2RA|IL2|JAK2|CBL|UBB|YWHAZ|PRKACA|CRK|SYK|VAV1|IL2RG|IL3|FYN|INPP5D|PIK3R1|BLNK|STAT5B,Reactome
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,0.00702808532811186,0.0331072398268883,0.407017918923954,0.373190480163007,1.49616952615244,76,TGFB1|SAA1|TIMP1|STAT3|HGF|IL6|MMP9|MCL1|VEGFA|FOXO1|SOCS3|HSPA8|BCL2|HSP90AA1|STAT1|VIM|JAK2|SOX2|CXCL8|IL4|CCL2|LCN2|BCL6|LBP|STAT6|IL2RG|FASLG|IL1A|MYC|FN1|IL13|TNF|TNFRSF1B|TYK2|IL6R|PIK3R1|IL17A|RORC|FOXO3|HMOX1|NANOG,Reactome
REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING,0.368070953436807,0.513070295425523,0.102449405629826,-0.329201393516087,-1.05364244576281,22,IL11RA|CNTFR|LIFR|CRLF1|IL6ST,Reactome
REACTOME_INTERLEUKIN_6_SIGNALING,0.05,0.139705882352941,0.266350657088526,0.616687365566586,1.52223392669854,10,STAT3|IL6|SOCS3|STAT1|PTPN11|JAK2|CBL|TYK2|IL6R,Reactome
REACTOME_INTERLEUKIN_7_SIGNALING,0.00864793890107281,0.0389362178010387,0.380730400722792,0.649917872594853,1.70101894961532,12,H3C1|STAT3|HGF|TSLP|CRLF2|IL2RG|IL7|PIK3R1|STAT5B|IL7R,Reactome
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING,0.434859154929577,0.574570510685812,0.0797705918628453,0.353362313224131,1.02073646016146,18,PTPN6|SHC1|GRB2|CSF2RA|IL2|JAK2|IL2RG|IL3|INPP5D|PIK3R1|IL5RA,Reactome
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,0.133671742808799,0.257061043863074,0.156312403073186,0.260905115989523,1.17557015043902,167,RHOG|AKT2|PSMB4|IL1RL1|PSMA7|HGF|PSMA1|PSMA2|UBC|FOXO1|TRAT1|PSMB1|PSMA5|PDE1A|GRB2|PRKAR2B|CSNK2A1|PTPN11|TNRC6B|HBEGF|FGF4|KDM1A|RPS27A|PRKAR1A|PRKAR1B|PSMC5|PIP4K2B|EREG|PSMA4|UBB|PTEN|PRKACA|PSMA6|FGF8|IRAK4|AKT1S1|CAMK2A|MAPK1|PDPK1|FGF16|VAV1|PSMB6|AREG|ERBB2|AGO1|EED|FYN|FGF3|STUB1|CD80|PSMB3|PIP4K2A|NR4A1|ADRM1|WWP2|LAMTOR3|CAMK4|BAD|NTF4|PDGFA|MET|PPP2R5D|CREB1|PIK3R1|PML|FOXO3|FGF20|PSMB7|MDM2|FGF18|HDAC2,Reactome
REACTOME_INTRAFLAGELLAR_TRANSPORT,0.118965517241379,0.237431179368299,0.16823816568964,0.549455316253279,1.35627802725806,10,KIF3A|IFT22|DYNLL2|CLUAP1|DYNLRB2|DYNLL1|KIF3B|DYNLRB1|KIF3C,Reactome
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,0.0290586880943306,0.0908084002947831,0.352487857583619,0.363340385545832,1.42215539528999,67,GALNT1|ARL1|CYTH4|ARFGAP1|STX10|PLA2G4A|KIF3A|VTI1A|ARF3|KIF23|STX6|ARFGAP2|ARF1|NSF|PAFAH1B2|CYTH1|DYNLL2|CYTH2|KLC3|GALNT2|RAB6B|COPB2|ARFIP2|RAB43|ARF5|RACGAP1|KIF22|DYNLL1|VAMP4|IGF2R|DYNC1LI1|KIF3B|DCTN2,Reactome
REACTOME_INTRA_GOLGI_TRAFFIC,0.111111111111111,0.228378251479012,0.176694268938498,0.463553655959127,1.35796148677564,19,CYTH4|VTI1A|STX6|ARF1|NSF|CYTH1|CYTH2,Reactome
