"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.7742.11","RNF148","RN148:region 1","RING finger protein 148:region 1","Q8N7C7",0.0271573557991722,9.75964751980522,0.403969581791553,0.688377420039,0.850818260708197,-6.4180548657281
"seq.7835.2","BNIP3L","BNI3L","BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like","O60238",0.0524940523798616,9.67792475804784,0.403870178436019,0.688450869922605,0.850818260708197,-6.41809413996184
"seq.19638.9","PDYN","Dynorphin A (1-17)","Dynorphin A (1-17)","P01213",-0.0330807220935956,11.7017147106008,-0.403825565750744,0.688477379143468,0.850818260708197,-6.41811724619093
"seq.19223.6","RAB1A","RAB1A","Ras-related protein Rab-1A","P62820",0.0993688893507318,13.0853973126598,0.403595490989035,0.6886512583103,0.850880453193241,-6.41820482286763
"seq.7853.19","SCO1","SCO1","Protein SCO1 homolog; mitochondrial","O75880",-0.0176008243227077,11.3184011176136,-0.403416507666639,0.688772950797872,0.850880453193241,-6.4182844471243
"seq.22121.43","DCAF12","DCA12","DDB1- and CUL4-associated factor 12","Q5T6F0",0.0124797431560513,9.00473368794017,0.402947653521071,0.689115075653837,0.851148754111295,-6.41847309634
"seq.14005.2","CHD7","CHD7","Chromodomain-helicase-DNA-binding protein 7","Q9P2D1",-0.0182035703720373,9.54499198660266,-0.402737312252556,0.689268584011949,0.851148754111295,-6.41855765902743
"seq.22506.25","NAA20","NAT5","N-acetyltransferase 5","P61599",0.0220881663791435,8.67721369691063,0.402619093017369,0.689358120493656,0.851148754111295,-6.41860240985312
"seq.23352.9","DTNBP1","DTBP1","Dysbindin","Q96EV8",-0.0435561149291885,8.59899528532693,-0.401740408806618,0.690005160164847,0.851692804569445,-6.41895035665756
"seq.5734.13","NECTIN4","nectin-4","Nectin-4","Q96NY8",-0.0171853438502527,8.86359287326873,-0.40158443618689,0.690110195694651,0.851692804569445,-6.41902036752583
"seq.21260.74","SNRPE","RUXE","Small nuclear ribonucleoprotein E","P62304",0.0138810266901661,9.640815038706,0.401506676959153,0.690166975081998,0.851692804569445,-6.41905152894485
"seq.15553.22","ACHE","ACES","Acetylcholinesterase","P22303",0.0142443398259022,9.81528706621119,0.401034409230069,0.69051186140077,0.851966893004969,-6.41924065807864
"seq.20142.42","UBE2C","UBE2C","Ubiquitin-conjugating enzyme E2 C","O00762",-0.0211535327123507,8.87910922241314,-0.400404700362307,0.69097435635909,0.852385966004573,-6.41949035907037
"seq.6517.14","GDF10","BMP-3b","Growth/differentiation factor 10","P55107",-0.0212144629325799,11.4532514865921,-0.399868533261749,0.691363559305809,0.852714493071989,-6.41970661130671
"seq.7736.28","OPALIN","OPALI","Opalin","Q96PE5",0.0201083655880705,10.9201575004869,0.399268837850811,0.691801807878685,0.853103384551305,-6.41994576109363
"seq.6263.77","PLTP","PLTP","Phospholipid transfer protein","P55058",-0.033316976740478,12.0045811112493,-0.398911884975777,0.692064652033641,0.853149240039301,-6.42008630843168
"seq.8296.117","POGLUT3","KDEL2","KDEL motif-containing protein 2","Q7Z4H8",0.0302143434570183,10.3884934355075,0.398892640570801,0.692084892950169,0.853149240039301,-6.4200887723189
"seq.12022.12","SMAD4","SMAD4","Mothers against decapentaplegic homolog 4","Q13485",0.030510241029754,8.15269855961884,0.398563116973481,0.69232644699115,0.853209040014849,-6.42021935536403
"seq.14705.1","VEGFD","VEGF-D","Vascular endothelial growth factor D","O43915",-0.0227338528830074,10.748393881233,-0.398478798626455,0.692379320409801,0.853209040014849,-6.42026027372737
"seq.5484.63","RPS3A","RS3A","40S ribosomal protein S3a","P61247",0.029472870988732,10.1221166672485,0.398234838111531,0.692566454620566,0.853288108773456,-6.42034989906248
"seq.13487.24","UNC93B1","UN93B","Protein unc-93 homolog B1","Q9H1C4",0.0413229702091193,9.22958253305964,0.396844904522816,0.693583002255561,0.85438886075827,-6.42090143910194
"seq.19575.4","EPOR","EPO-R","Erythropoietin receptor","P19235",0.0191750897560734,9.18885326591155,0.395881747228037,0.694279217182626,0.854784202761664,-6.42128965964119
"seq.11313.100","PCBD1","PHS","Pterin-4-alpha-carbinolamine dehydratase","P61457",-0.0546228466868897,10.6835218302687,-0.395828735739927,0.694326554129398,0.854784202761664,-6.42130345487442
"seq.13936.24","PGK2","PGK2","Phosphoglycerate kinase 2","P07205",0.0247963998450391,9.928360214027,0.395728157105879,0.694396678335135,0.854784202761664,-6.4213461103255
"seq.4159.130","CFH","Factor H","Complement factor H","P08603",-0.0178123872471474,17.0534073450595,-0.395724397984505,0.694394215540106,0.854784202761664,-6.42135196064757
"seq.12446.49","GSTA1","GST A1-1","Glutathione S-transferase A1","P08263",-0.0444736449477414,12.3091928392596,-0.395414033375048,0.694629109892911,0.8549186579544,-6.42146804393906
"seq.18894.1","GPX2","GPX2","Glutathione peroxidase 2","P18283",0.0492382870364789,9.92129741851164,0.39501131081279,0.694924902656194,0.854942393052971,-6.42162610166662
"seq.13375.48","SYNGR3","SNG3","Synaptogyrin-3","O43761",-0.0272351378358966,9.93729750659996,-0.394954945597345,0.694965300577104,0.854942393052971,-6.42164905119435
"seq.23243.120","RPS25","RS25","40S ribosomal protein S25","P62851",0.0599722605332591,12.0783241481625,0.394522902325332,0.695282507946474,0.854942393052971,-6.42181856617765
"seq.12975.11","KRT20","Keratin 20","Keratin; type I cytoskeletal 20","P35900",0.0401622160034751,10.4984206536315,0.394493202346024,0.695304256091068,0.854942393052971,-6.42183026226952
"seq.12750.9","ITGB2","LFA-1 beta-2","Integrin beta-2","P05107",-0.0279428213473913,11.7493172795768,-0.394342838547129,0.695405697447113,0.854942393052971,-6.42189670278566
"seq.12514.16","METTL1","METTL1","tRNA (guanine-N(7)-)-methyltransferase","Q9UBP6",0.00999104168938558,10.8687943962679,0.394277927812785,0.695453234433598,0.854942393052971,-6.4219222502818
"seq.12626.6","SENP7","SENP7","Sentrin-specific protease 7","Q9BQF6",-0.0336139503770116,8.89972014141004,-0.394211084581593,0.69551085297363,0.854942393052971,-6.42194131896471
"seq.13623.4","KMT2D","MLL2","Histone-lysine N-methyltransferase 2D","O14686",0.0215259839857342,11.0024729819875,0.393901570184545,0.69572888215443,0.855058929024016,-6.42207029447408
"seq.19215.7","NDRG1","NDRG1","Protein NDRG1","Q92597",-0.0218329988228252,10.8168229494429,-0.393408104825831,0.69609036384025,0.855351697306091,-6.42226419167241
"seq.2859.69","HDAC8","HDAC8","Histone deacetylase 8","Q9BY41",-0.0309647681478626,13.6855910120886,-0.392985586097546,0.696399931426542,0.855573781321614,-6.42243002018747
"seq.19448.104","UPP1","UPP1","Uridine phosphorylase 1","Q16831",-0.0551863201615994,10.5988286172925,-0.392800382007269,0.69654427234716,0.855573781321614,-6.4224954646651
"seq.22984.10","EIF4A2","IF4A2","Eukaryotic initiation factor 4A-II","Q14240",-0.103985397359097,13.1697746848983,-0.392668388466267,0.696640995023363,0.855573781321614,-6.42254721292321
"seq.8853.2","CLEC4A","CLC4A","C-type lectin domain family 4 member A","Q9UMR7",-0.0238797840453557,10.3217803347761,-0.392325380327491,0.69688625104218,0.855723534946326,-6.42268670057881
