pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,0.097926267281106,0.627731633843529,0.150169802128406,0.247964548102713,1.1985471920279,258,IDH1|ENO1|TIGAR|GDA|GPD1|NUDT16|NDUFB6|IFNG|NDUFB11|HAAO|RRM2B|HK1|KYNU|HIF1A|TPST2|NPPB|LDHA|PRKN|ARL2|NMRK2|GCK|PFKM|PGAM4|PDE4C|TGFB1|DNPH1|HK3|IL4|TREM2|NPPA|AK5|IER3|AK1|NAMPT|ALDOC|SULT1B1|PKM|LACC1|PTH|ENPP3|DPYS|RPIA|PGD|SPHK2|GMPR|DDIT4|HK2|UPB1|ME1|HSPA1A|PTHLH|ATP5MF|PRPSAP2|NEIL1|PRPS2|SIRT6|PAPSS1|IMPDH1|ALDOB|ALDOA|CDA|RHOQ|GMPR2|NUDT12|PARP1|ENO2|DCXR|PARK7|GUCA1A|DNAJC30|AK4|NT5C3A|ADA,GO_BP
GOBP_NUCLEOTIDE_SALVAGE,0.854591836734694,0.992335164298488,0.0643583367917361,-0.236005551499838,-0.715165507423172,13,DCK|UCK1|APRT|ADSL,GO_BP
GOBP_NUCLEOTIDE_SUGAR_BIOSYNTHETIC_PROCESS,0.27906976744186,0.799885118966154,0.09754492162472,0.374717053196641,1.1381209241959,19,HK1|GMPPA|PMM2|NAGK|NANS,GO_BP
GOBP_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS,0.486902927580894,0.897323143007505,0.0672065093710464,0.304169118131727,0.981342307058393,25,HK1|GMPPA|PMM2|NAGK|NANS|EXTL2|GSK3A|ENTPD5|GFUS|GNPDA1|UXS1|FUT8,GO_BP
GOBP_NUCLEUS_LOCALIZATION,0.668421052631579,0.964679345653043,0.0782955249944794,-0.298260167000763,-0.830482347211036,10,FHOD1|NTN1|SYNE2,GO_BP
GOBP_NUCLEUS_ORGANIZATION,0.241678726483357,0.786028016795692,0.102080107662747,0.295621416009553,1.14235524742786,56,IRAG2|VRK1|VPS4B|SPAST|NECTIN2|CHMP2B|RPS19|PITPNB|TOR1AIP1|RNF8|PIWIL1|SIRT1,GO_BP
GOBP_NUTRIENT_STORAGE,0.640648011782032,0.955370946568506,0.0520570030732099,0.250747337850632,0.889884146659781,37,APOE|NR1H2|TREM2|CES1|PPARG|C3|TNF|PLA2G10|SIRT1|STAT5A|CRP|SCARB1,GO_BP
GOBP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS,0.132996632996633,0.690938354392965,0.156312403073186,0.487680260597751,1.33300186001344,14,CHST1|CHST2|NAGK|CHST6|MGAT3|EXTL2|HEXB,GO_BP
GOBP_N_GLYCAN_PROCESSING,0.683087027914614,0.969146365412986,0.0541200569620232,0.296555599964961,0.831423112124665,15,MAN1C1|MGAT4A|ENGASE|ST8SIA1|ST8SIA6|MAN1A2|HEXB,GO_BP
GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION,0.425925925925926,0.872282412423257,0.104343952581949,-0.357543184590849,-1.02191284110038,11,PPM1A|NAA20|CREBBP|NTMT1,GO_BP
GOBP_ODONTOBLAST_DIFFERENTIATION,0.405144694533762,0.863207224464665,0.0787113806986485,0.421552294749,1.05250465661812,10,SMAD2|CEBPB|TGFB1|CTNNB1,GO_BP
GOBP_ODONTOGENESIS,0.309219858156028,0.818456379333687,0.0865399737444125,0.273784857514329,1.09555942240872,65,PITX2|CSF3R|CD34|WNT10A|RELT|NECTIN1|TNC|TNFSF11|TGFB1|STIM1|TUFT1|EDA|AXIN2|FGF8|ACVR2B|MMP20|ACVR2A|COL1A1|FST|JAG2|INHBA|CTNNB1,GO_BP
GOBP_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH,0.61863173216885,0.946590574901827,0.0531298054705469,0.242953314315499,0.908313510786178,47,CSF3R|WNT10A|RELT|NECTIN1|TNC|TGFB1|STIM1|EDA|FGF8|ACVR2B|MMP20|ACVR2A|FST|JAG2|CTNNB1,GO_BP
GOBP_OLEFINIC_COMPOUND_BIOSYNTHETIC_PROCESS,0.535714285714286,0.916762653618787,0.0928481214159878,-0.304215338628673,-0.955319674974507,17,BMP5|BMP6|ADM|PRKG1,GO_BP
GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS,0.65850144092219,0.960884353741497,0.0497903187820785,0.227103100413149,0.891604041841397,60,ADH1A|ALDH1A1|PTGS2|SCP2|AKR1C1|ALDH1A3|GSTP1|DKKL1|ABHD12|BGLAP|FSHB|ADH1C|GSTA1|PLA2G10,GO_BP
GOBP_OLFACTORY_LOBE_DEVELOPMENT,0.0221106677903249,0.410870914351141,0.352487857583619,-0.482466846043587,-1.54383355400164,18,EFNA2|ROBO1|SLIT2|ROBO2|SEMA7A|CRTAC1|LRRK2|SLIT3|CSF1R|ERBB4|CHD7|DLX2,GO_BP
GOBP_OLIGODENDROCYTE_DEVELOPMENT,0.515320334261839,0.907094631354457,0.0959206777921745,-0.283474772116465,-0.961586431600278,21,CNTN2|CNTN1|MAG|B4GALT6|CD9|PTEN,GO_BP
GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.0476022457172013,0.510732428007472,0.321775918075361,-0.334486412473691,-1.37808070848151,45,TNFRSF21|NTRK2|CDKN2C|CNTN2|CNTN1|NOTCH1|PTN|MAG|PTPRJ|B4GALT6|CD9|PTEN,GO_BP
GOBP_OLIGOSACCHARIDE_BIOSYNTHETIC_PROCESS,0.747648902821317,0.975135417753562,0.0478299633114229,0.272367127685765,0.801595794334278,17,ST6GALNAC1|MGAT2|FUT3|ST6GALNAC6|B4GALT1|B3GALT1,GO_BP
GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS,0.0386599970622649,0.492470987312598,0.321775918075361,-0.368644360343777,-1.42830477815406,35,MAN1B1|FUT10|ST8SIA4|ST6GALNAC3|B3GALT5|LCT|MANBA|AMY1A|ST8SIA3|MAN2B2|GM2A,GO_BP
GOBP_ONE_CARBON_METABOLIC_PROCESS,0.98989898989899,1,0.0382416816260774,0.185616338888253,0.507354808012227,14,MAT2A|AHCY|MAT2B|AHCYL1|MTHFS|SHMT2|GNMT|MTHFD1,GO_BP
GOBP_OOCYTE_DIFFERENTIATION,0.0478395061728395,0.511754954756933,0.257206466468838,0.448078471476625,1.46234616038102,26,KMT2D|GDF9|DMC1|RAB24|LGR5|INHBB|YBX2|CDC25B|CTNNB1|AURKA|FOXO3|WEE2|CCNB1|BCL2|EDN1|FOXL2,GO_BP
GOBP_OOCYTE_MATURATION,0.188834154351396,0.751357363037691,0.126875729929857,0.456098352148564,1.27871708179881,15,DMC1|RAB24|CDC25B|AURKA|FOXO3|WEE2|CCNB1|EDN1,GO_BP
GOBP_OOGENESIS,0.0779610194902549,0.589454751435095,0.195789002148949,0.374914298803055,1.34260867486551,41,KMT2D|GDF9|DMC1|ERCC1|RAB24|LGR5|INHBB|YBX2|CDC25B|TERB2|CTNNB1|MDK|HEXB|AURKA|FOXO3|WEE2|PTX3|SRC|CCNB1|BCL2|EDN1|FOXL2|AKT1,GO_BP
