"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.9244.27","PPT1","PPT1","Palmitoyl-protein thioesterase 1","P50897",0.610202751971956,9.55063137790383,3.54264861477619,0.0012288696052644,0.0112851886695197,-1.02507422393731
"seq.7854.38","NCR3LG1","NR3L1","Natural cytotoxicity triggering receptor 3 ligand 1","Q68D85",0.243039447613176,9.93055533515859,3.5404699742629,0.00122951471885818,0.0112851886695197,-1.02670912972981
"seq.22369.12","DMRTC2","DMRTD","Doublesex- and mab-3-related transcription factor C2","Q8IXT2",-0.573664805265972,10.1379562020432,-3.5413949618446,0.00123307194837406,0.0112879765828069,-1.02821150556221
"seq.11601.26","DHX8","DHX8","ATP-dependent RNA helicase DHX8","Q14562",0.315042944427566,10.4712662761895,3.53986793655844,0.00123153508786608,0.0112879765828069,-1.02821775212964
"seq.13089.6","HIF1A","HIF-1a","Hypoxia-inducible factor 1-alpha","Q16665",0.490308405623939,9.87086888172436,3.54047047151288,0.00123617980310324,0.011301517330347,-1.03052475942678
"seq.22809.32","TIMM23","TIM23","Mitochondrial import inner membrane translocase subunit Tim23","O14925",0.435352278139304,11.0694429178352,3.53774695001446,0.00123898295396635,0.0113122404178586,-1.03370521933476
"seq.21356.6","B9D2","B9D2","B9 domain-containing protein 2","Q9BPU9",-0.458876135408987,9.38256577897347,-3.53766191708013,0.00124566779004169,0.0113484396055982,-1.03755077196838
"seq.7917.17","CPD","CBPD","Carboxypeptidase D","O75976",0.3541933306586,11.5930760737684,3.53507677893741,0.0012477283546464,0.0113484396055982,-1.04021990879979
"seq.21909.2","ITGA5|ITGB1","Integrin a5b1","Integrin a5b1","P08648|P05556",0.390648983146786,11.3635890743485,3.53503981736794,0.00124785407394025,0.0113484396055982,-1.04031247351454
"seq.5731.1","SPINK6","ISK6","Serine protease inhibitor Kazal-type 6","Q6UWN8",0.434228069480058,10.6543548490737,3.53232498333257,0.00125977478589007,0.0114418550252503,-1.04859622438753
"seq.20550.38","NTM","NTRI","Neurotrimin","Q9P121",-0.512261043187866,13.0274381396092,-3.53104944650344,0.00126149891540449,0.0114425372209042,-1.05030337851691
"seq.11618.83","MYB","MYB","Transcriptional activator Myb","P10242",0.398788190058728,9.76378920278371,3.53076088890878,0.00126725926689271,0.0114554273643285,-1.0536818214739
"seq.8759.29","A4GALT","a1;4-Galactosyltransferase","Lactosylceramide 4-alpha-galactosyltransferase","Q9NPC4",-0.686496408005031,10.3961771197136,-3.5309212750376,0.00126872721897223,0.0114554273643285,-1.05440403454726
"seq.20445.29","AP1AR","AP1AR","AP-1 complex-associated regulatory protein","Q63HQ0",1.23348755933934,13.9453498528186,3.53026120245787,0.00127100733213688,0.0114554273643285,-1.05605365957862
"seq.18842.24","UBE2D2","UB2D2","Ubiquitin-conjugating enzyme E2 D2","P62837",0.548276837168157,12.4912800499068,3.5285825697927,0.00127000619871264,0.0114554273643285,-1.05647746568195
"seq.12834.3","KCNF1","KCNF1","Potassium voltage-gated channel subfamily F member 1","Q9H3M0",0.277686459427001,11.3088254596099,3.52824507410058,0.00127117438687606,0.0114554273643285,-1.05732200757781
"seq.3514.49","PRTN3","Proteinase-3","Myeloblastin","P24158",1.20783354342078,13.1684668818,3.52927853361501,0.00127440913410069,0.0114696822069062,-1.05850926532789
"seq.3758.63","PROC","Activated Protein C","Activated Protein C","P04070",1.04230663509522,14.2479130788401,3.52782048416232,0.00127947281479813,0.0115003391993319,-1.06215228164879
"seq.2682.68","HSPD1","HSP 60","60 kDa heat shock protein; mitochondrial","P10809",0.846382712960134,11.7899750966998,3.52627578890933,0.00128485860264508,0.0115329458998135,-1.0660111021743
"seq.25918.60","HLA-E","HLAE","HLA class I histocompatibility antigen; alpha chain E","P13747",0.91687670162607,14.0143412546495,3.52582782627491,0.00128642457507647,0.0115329458998135,-1.06713003069931
"seq.9487.60","GHRH","Growth hormone-releasing factor","Somatoliberin","P01286",0.396910347624168,10.0901787810101,3.52377669581522,0.0012903763063566,0.011553446696527,-1.07048683352283
"seq.12414.31","YWHAB","14-3-3 protein beta/alpha","14-3-3 protein beta/alpha","P31946",0.92683856176156,12.371571667508,3.5233343697791,0.00129517484956353,0.011563959586956,-1.07335714244356
"seq.8646.61","LRRTM4","LRRT4:CD","Leucine-rich repeat transmembrane neuronal protein 4:Isoform 2; Cytoplasmic domain","Q86VH4",0.465676152913513,9.5442080652224,3.52332994582384,0.00129519042548028,0.011563959586956,-1.07336818911035
"seq.13013.41","PRKN","PRKN2","E3 ubiquitin-protein ligase parkin","O60260",0.821158820715475,11.5864135340082,3.52294398553951,0.00129655001565814,0.011563959586956,-1.07433191401688
