"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.8470.213","RNASEH1","RNase H1","Ribonuclease H1","O60930",-0.281222797178418,7.85447725799011,-2.69595240752799,0.010910984148909,0.0330906114551048,-3.16274922393757
"seq.6441.62","ADAMTS6","ATS6","A disintegrin and metalloproteinase with thrombospondin motifs 6","Q9UKP5",-0.66783409891236,11.4539038278649,-2.6953073624579,0.0109327121477981,0.0331420225397865,-3.16440271270263
"seq.7130.4","LAIR2","LAIR2","Leukocyte-associated immunoglobulin-like receptor 2","Q6ISS4",-0.23629281290107,8.75634058219385,-2.69399582053305,0.0109467532989607,0.0331700965683354,-3.16622957745377
"seq.6991.24","FUT9","FUT9","Alpha-(1;3)-fucosyltransferase 9","Q9Y231",-0.229328958273586,12.3620987046726,-2.69213850045127,0.0109940401721585,0.0332988410103047,-3.170201902517
"seq.12347.29","CCM2","CCM2","Cerebral cavernous malformations 2 protein","Q9BSQ5",-0.492627022263049,12.8094356270485,-2.69209735646676,0.0110092938666128,0.0333193664802081,-3.17100667219033
"seq.9075.121","MINAR1","K1024","UPF0258 protein KIAA1024","Q9UPX6",0.207313807106848,9.82846650656361,2.69153222775922,0.0110104204264472,0.0333193664802081,-3.17154380409713
"seq.18314.88","PAX8","PAX-8","Paired box protein Pax-8","Q06710",0.213471740883106,10.1828762128028,2.69061252692137,0.0110353121266099,0.0333801355041613,-3.17357906986291
"seq.8005.1","MXRA7","MXRA7","Matrix-remodeling-associated protein 7","P84157",0.406471072535382,10.60260275931,2.69106413997152,0.0110471357983123,0.033401340001956,-3.17378931999614
"seq.7206.20","FBP1","F16P1","Fructose-1;6-bisphosphatase 1","P09467",0.697549666342098,11.8224231113532,2.69073787573888,0.0110559797857975,0.0334135207899168,-3.17451067521368
"seq.21172.11","TLNRD1","MESD1","Mesoderm development candidate 1","Q9H1K6",0.486916985213142,11.1310265631016,2.68435786246146,0.011230248115392,0.033925420841404,-3.18860545512832
"seq.12658.72","PANK3","PANK3","Pantothenate kinase 3","Q9H999",-0.537285135314981,12.0312959913851,-2.68410696280488,0.0112371531920834,0.0339315082680012,-3.18915931128601
"seq.20976.19","LSM3","LSM3","U6 snRNA-associated Sm-like protein LSm3","P62310",-0.51551569860813,11.1244233805426,-2.68300448985748,0.0112675413642501,0.0340084686935759,-3.19159260979596
"seq.3067.67","GDF9","GDF-9","Growth/differentiation factor 9","O60383",0.205196154771299,9.94538591142139,2.68166848935398,0.0112801209808065,0.0340316345590505,-3.1933488595636
"seq.5730.60","CXCL14","BRAK","C-X-C motif chemokine 14","O95715",-0.630660781520406,10.6495368796952,-2.68180681459565,0.0113006400666087,0.0340787229127326,-3.19423531292587
"seq.17327.3","CNPY3","CNPY3","Protein canopy homolog 3","Q9BT09",0.290701560788523,10.3635152108358,2.68000963016111,0.0113327578612993,0.034160732753934,-3.19733670684839
"seq.9845.33","PARK7","PARK7","Protein DJ-1","Q99497",0.370827969280937,9.50190112621455,2.67992826436714,0.0113527370586158,0.0342060974597199,-3.19837887586959
